Name,NOC,Year,Sport,Medal,isCoached,Scoring_Exponential,ExperienceScoring_Exponential,CombinedScoring,TeamScoring
Zhao Ruirui,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Zhou Suhong,CHN,2004,Volleyball,5,0,0.465913214,0,0.302796998,0.383394249
Feng Kun,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.30133539
Li Juan,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676,0.30133539
Liu Yanan,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.30133539
Ma Yunwen,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676,0.30133539
Wang Yimei,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676,0.30133539
Wei Qiuyue,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676,0.30133539
Xu Yunli,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676,0.30133539
Xue Ming,CHN,2008,Volleyball,1,0,0.096388177,0,0.062642676,0.30133539
Yang Hao,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.30133539
Zhang Na,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.30133539
Zhao Ruirui,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.30133539
Zhou Suhong,CHN,2008,Volleyball,1,0,0.604445587,0.420448208,0.540028104,0.30133539
Chu Jinling,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Hui Ruoqi,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Ma Yunwen,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Mi Yang,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Shan Danna,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Wang Yimei,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Wei Qiuyue,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Xu Yunli,CHN,2012,Volleyball,0,0,0.096388177,0.272626933,0.158089365,0.052696455
Yang Junjing,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Zeng Chunlei,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Zhang Lei,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Zhang Xian,CHN,2012,Volleyball,0,0,0,0,0,0.052696455
Ding Xia,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Gong Xiangyu,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Hui Ruoqi,CHN,2016,Volleyball,5,1,0.465913214,0.385552706,0.437779,0.387400863
Lin Li,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Liu Xiaotong,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Wei Qiuyue,CHN,2016,Volleyball,5,1,0.604445587,1,0.742929187,0.387400863
Xu Yunli,CHN,2016,Volleyball,5,1,0.604445587,1,0.742929187,0.387400863
Yan Ni,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Yang Fangxu,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Yuan Xinyue,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Zhang Changning,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Zhu Ting,CHN,2016,Volleyball,5,1,0.465913214,0,0.302796998,0.387400863
Xia Ding,CHN,2020,Volleyball,0,1,0,0,0,0
Xiangyu Gong,CHN,2020,Volleyball,0,1,0,0,0,0
Yingying Li,CHN,2020,Volleyball,0,1,0,0,0,0
Xiaotong Liu,CHN,2020,Volleyball,0,1,0,0,0,0
Yanhan Liu,CHN,2020,Volleyball,0,1,0,0,0,0
Mengjie Wang,CHN,2020,Volleyball,0,1,0,0,0,0
Yuanyuan Wang,CHN,2020,Volleyball,0,1,0,0,0,0
Ni Yan,CHN,2020,Volleyball,0,1,0,0,0,0
Di Yao,CHN,2020,Volleyball,0,1,0,0,0,0
Xinyue Yuan,CHN,2020,Volleyball,0,1,0,0,0,0
Changning Zhang,CHN,2020,Volleyball,0,1,0,0,0,0
Ting Zhu,CHN,2020,Volleyball,0,1,0,0,0,0
Linyu Diao,CHN,2024,Volleyball,0,0,0,0,0,0.053861538
Xia Ding,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Yi Gao,CHN,2024,Volleyball,0,0,0,0,0,0.053861538
Xiangyu Gong,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Yingying Li,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Mengjie Wang,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Mengjie Wu,CHN,2024,Volleyball,0,0,0,0,0,0.053861538
Xinyue Yuan,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Changning Zhang,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Yushan Zhuang,CHN,2024,Volleyball,0,0,0,0,0,0.053861538
Yuanyuan Wang,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Yixin Zheng,CHN,2024,Volleyball,0,0,0,0,0,0.053861538
Ting Zhu,CHN,2024,Volleyball,0,0,0,0.25,0.087525,0.053861538
Jeanne (-reeves),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Carolyn Becker,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Linda Chisholm,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Rita (-buck),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Laura (-corbelli),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Deborah (-vargas),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Flora Hyman,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Rose (-powell),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Kimberly Ruddins,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Julie (-melli),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Paula (-hanold),United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Susan Woodstra,United States,1984,Volleyball,3,0,0.231120425,0,0.144034249,0.144034249
Deitre (-parker),United States,1988,Volleyball,0,0,0,0,0,0.015118129
Caren Kemner,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Laurel Kessel,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Elizabeth Masakayan,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Jayne (gibson-),United States,1988,Volleyball,0,0,0,0,0,0.015118129
Melissa (-kleespies),United States,1988,Volleyball,0,0,0,0,0,0.015118129
Kimberley Oden,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Prikeba Phipps,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Angela Rock,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Kimberly Ruddins,United States,1988,Volleyball,0,0,0.231120425,0.099212566,0.181417543,0.015118129
Liane Sato,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Tammy Webb-liley,United States,1988,Volleyball,0,0,0,0,0,0.015118129
Janet (-mulholland),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785,0.078612444
Tara Cross-battle,United States,1992,Volleyball,1,0,0.087042337,0,0.054244785,0.078612444
Lori (-vandersnick),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785,0.078612444
Caren Kemner,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544,0.078612444
Ruth (-kenan),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785,0.078612444
Elaina Oden,United States,1992,Volleyball,1,0,0.087042337,0,0.054244785,0.078612444
Kimberley Oden,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544,0.078612444
Tonya (-slacanin),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785,0.078612444
Liane Sato,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544,0.078612444
Tammy Webb-liley,United States,1992,Volleyball,1,0,0.087042337,0.072908065,0.081716544,0.078612444
Paula (-hanold),United States,1992,Volleyball,1,0,0.309950198,0.115734339,0.236769662,0.078612444
Yoko -hiroshi),United States,1992,Volleyball,1,0,0.087042337,0,0.054244785,0.078612444
Tara Cross-battle,United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544,0.073045163
Lori (-vandersnick),United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544,0.073045163
Caren Kemner,United States,1996,Volleyball,0,0,0.087042337,0.270014935,0.155986412,0.073045163
Kristin Klein,United States,1996,Volleyball,0,0,0,0,0,0.073045163
Beverly Oden,United States,1996,Volleyball,0,0,0,0,0,0.073045163
Elaina Oden,United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544,0.073045163
Tonya (-slacanin),United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544,0.073045163
Danielle Scott-arruda,United States,1996,Volleyball,0,0,0,0,0,0.073045163
Tammy Webb-liley,United States,1996,Volleyball,0,0,0.087042337,0.270014935,0.155986412,0.073045163
Paula (-hanold),United States,1996,Volleyball,0,0,0.087042337,0.270014935,0.155986412,0.073045163
Elaine Youngs,United States,1996,Volleyball,0,0,0,0,0,0.073045163
Yoko -hiroshi),United States,1996,Volleyball,0,0,0.087042337,0.072908065,0.081716544,0.073045163
Robyn Mow-santos,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Heather Bown,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Tara Cross-battle,United States,2000,Volleyball,0,0,0.087042337,0.270014935,0.155986412,0.014961368
Mickisha Hurley,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Sarah Noriega,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Demetria Sance,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Danielle Scott-arruda,United States,2000,Volleyball,0,0,0,0.0625,0.02355,0.014961368
Stacy Sykora,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Charlene Tagaloa,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Logan Tom,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Kerri Jennings,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Allison Weston,United States,2000,Volleyball,0,0,0,0,0,0.014961368
Robyn Mow-santos,United States,2004,Volleyball,0,0,0,0.0625,0.02355,0.035325
Elisabeth (-mccutcheon),United States,2004,Volleyball,0,0,0,0,0,0.035325
Lindsey Berg,United States,2004,Volleyball,0,0,0,0,0,0.035325
Heather Bown,United States,2004,Volleyball,0,0,0,0.0625,0.02355,0.035325
Tara Cross-battle,United States,2004,Volleyball,0,0,0,0.5625,0.21195,0.035325
Tayyiba Haneef-park,United States,2004,Volleyball,0,0,0,0,0,0.035325
Nancy (meendering-),United States,2004,Volleyball,0,0,0,0,0,0.035325
Ogonna Nnamani,United States,2004,Volleyball,0,0,0,0,0,0.035325
Prikeba Phipps,United States,2004,Volleyball,0,0,0,0.0625,0.02355,0.035325
Danielle Scott-arruda,United States,2004,Volleyball,0,0,0,0.25,0.0942,0.035325
Stacy Sykora,United States,2004,Volleyball,0,0,0,0.0625,0.02355,0.035325
Logan Tom,United States,2004,Volleyball,0,0,0,0.0625,0.02355,0.035325
Robyn Mow-santos,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812,0.21238169
Lindsey Berg,United States,2008,Volleyball,3,1,0.231120425,0.099212566,0.181417543,0.21238169
Heather Bown,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812,0.21238169
Nicole Davis,United States,2008,Volleyball,3,1,0.231120425,0,0.144034249,0.21238169
Kimberly Glass,United States,2008,Volleyball,3,1,0.231120425,0,0.144034249,0.21238169
Tayyiba Haneef-park,United States,2008,Volleyball,3,1,0.231120425,0.099212566,0.181417543,0.21238169
Jennifer (-tamas),United States,2008,Volleyball,3,1,0.231120425,0,0.144034249,0.21238169
Ogonna Nnamani,United States,2008,Volleyball,3,1,0.231120425,0.099212566,0.181417543,0.21238169
Danielle Scott-arruda,United States,2008,Volleyball,3,1,0.231120425,0.619111359,0.377315409,0.21238169
Stacy Sykora,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812,0.21238169
Logan Tom,United States,2008,Volleyball,3,1,0.231120425,0.314980262,0.262718812,0.21238169
Kim Willoughby,United States,2008,Volleyball,3,1,0.231120425,0,0.144034249,0.21238169
Foluke Akinradewo,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249,0.298792463
Lindsey Berg,United States,2012,Volleyball,3,0,0.508761886,0.396850263,0.466593586,0.298792463
Nicole Davis,United States,2012,Volleyball,3,0,0.508761886,0.157490131,0.376402689,0.298792463
Tayyiba Haneef-park,United States,2012,Volleyball,3,0,0.508761886,0.396850263,0.466593586,0.298792463
Christa Harmotto-dietzen,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249,0.298792463
Megan Hodge,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249,0.298792463
Destinee Hooker,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249,0.298792463
Jordan Larson-burbach,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249,0.298792463
Tamari Miyashiro,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249,0.298792463
Danielle Scott-arruda,United States,2012,Volleyball,3,0,0.508761886,1,0.693860407,0.298792463
Courtney Thompson,United States,2012,Volleyball,3,0,0.231120425,0,0.144034249,0.298792463
Logan Tom,United States,2012,Volleyball,3,0,0.508761886,0.681420222,0.573819547,0.298792463
Rachael Adams,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Foluke Akinradewo,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662,0.115086411
Kayla Banwarth,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Alisha Glass,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Christa Harmotto-dietzen,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662,0.115086411
Kimberly Hill,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Jordan Larson-burbach,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662,0.115086411
Carli Lloyd,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Karsta Lowe,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Kelly Murphy,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Kelsey Robinson,United States,2016,Volleyball,1,0,0.087042337,0,0.054244785,0.115086411
Courtney Thompson,United States,2016,Volleyball,1,0,0.309950198,0.115734339,0.236769662,0.115086411
Foluke Akinradewo,United States,2020,Volleyball,5,0,1,0.5,0.8116,0.317693152
Michelle Bartsch-hackley,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Andrea Drews,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Micha Hancock,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Kimberly Hill,United States,2020,Volleyball,5,0,0.508761886,0.157490131,0.376402689,0.317693152
Jordan Larson,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Chiaka Ogbogu,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Jordyn Poulter,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Kelsey Robinson,United States,2020,Volleyball,5,0,0.508761886,0.157490131,0.376402689,0.317693152
Jordan Thompson,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Haleigh Washington,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Justine Wong-orantes,United States,2020,Volleyball,5,0,0.400783134,0,0.249768049,0.317693152
Lauren Carlini,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Andrea Drews,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Micha Hancock,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Jordan Larson,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Chiaka Ogbogu,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Kathryn Plummer,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Jordyn Poulter,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Dana Rettke,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Kelsey Robinson,United States,2024,Volleyball,3,0,1,0.5,0.8116,0.463452863
Avery Skinner,United States,2024,Volleyball,3,0,0.231120425,0,0.144034249,0.463452863
Jordan Thompson,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Haleigh Washington,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Justine Wong-orantes,United States,2024,Volleyball,3,0,0.800531764,0.214310996,0.579643778,0.463452863
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Pamela (-flat),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Pamela (-flat),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Michelle (-farrell),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Kathleen (-clarke),United States,1984,Gymnastics,1,1,0.025811648,0.089583346,0.048138119,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,3,1,0.069438548,0.016627487,0.050949395,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,5,1,0.108186649,0.06807568,0.094143799,0.026753116
Julianne (-zeile),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Mary (-kelley),United States,1984,Gymnastics,5,1,0.108186649,0,0.070310503,0.026753116
Mary (-kelley),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Mary (-kelley),United States,1984,Gymnastics,1,1,0.025811648,0.014713533,0.021926198,0.026753116
Mary (-kelley),United States,1984,Gymnastics,3,1,0.069438548,0.036133964,0.057778613,0.026753116
Mary (-kelley),United States,1984,Gymnastics,1,1,0.025811648,0.057700039,0.036975773,0.026753116
Mary (-kelley),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0,0,0.026753116
Tracee (-kent),United States,1984,Gymnastics,3,1,0.069438548,0.004411327,0.046672518,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.01384083,0.004845675,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.031141869,0.010902768,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.055363322,0.019382699,0.026753116
Tracee (-kent),United States,1984,Gymnastics,0,1,0,0.08650519,0.030285467,0.026753116
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.055363322,0.019382699,0.013979875
Kelly (-funderburk),United States,1988,Gymnastics,0,0,0,0.08650519,0.030285467,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.055363322,0.019382699,0.013979875
Brandy (-scharpf),United States,1988,Gymnastics,0,0,0,0.08650519,0.030285467,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0,0,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.003460208,0.001211419,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.01384083,0.004845675,0.013979875
Melissa (-clausi),United States,1988,Gymnastics,0,0,0,0.031141869,0.010902768,0.013979875
