Name,NOC,Year,Sport,Medal,isCoached,Scoring_Current,ExperienceScoring
Kimberly Glass,United States,2008,Volleyball,Silver,1,3,0.5
Tayyiba Haneef-park,United States,2008,Volleyball,Silver,1,3,1
Jennifer (-tamas),United States,2008,Volleyball,Silver,1,3,0.5
Ogonna Nnamani,United States,2008,Volleyball,Silver,1,3,1
Danielle Scott-arruda,United States,2008,Volleyball,Silver,1,3,2
Stacy Sykora,United States,2008,Volleyball,Silver,1,3,1.5
Logan Tom,United States,2008,Volleyball,Silver,1,3,1.5
Kim Willoughby,United States,2008,Volleyball,Silver,1,3,0.5
Foluke Akinradewo,United States,2012,Volleyball,Silver,0,3,0.5
Lindsey Berg,United States,2012,Volleyball,Silver,0,6,1.5
Nicole Davis,United States,2012,Volleyball,Silver,0,6,1
Tayyiba Haneef-park,United States,2012,Volleyball,Silver,0,6,1.5
Christa Harmotto-dietzen,United States,2012,Volleyball,Silver,0,3,0.5
Megan Hodge,United States,2012,Volleyball,Silver,0,3,0.5
Destinee Hooker,United States,2012,Volleyball,Silver,0,3,0.5
Jordan Larson-burbach,United States,2012,Volleyball,Silver,0,3,0.5
Tamari Miyashiro,United States,2012,Volleyball,Silver,0,3,0.5
Danielle Scott-arruda,United States,2012,Volleyball,Silver,0,6,2.5
Courtney Thompson,United States,2012,Volleyball,Silver,0,3,0.5
Logan Tom,United States,2012,Volleyball,Silver,0,6,2
Rachael Adams,United States,2016,Volleyball,Bronze,0,1,0.5
Foluke Akinradewo,United States,2016,Volleyball,Bronze,0,4,1
Kayla Banwarth,United States,2016,Volleyball,Bronze,0,1,0.5
Alisha Glass,United States,2016,Volleyball,Bronze,0,1,0.5
Christa Harmotto-dietzen,United States,2016,Volleyball,Bronze,0,4,1
Kimberly Hill,United States,2016,Volleyball,Bronze,0,1,0.5
Jordan Larson-burbach,United States,2016,Volleyball,Bronze,0,4,1
Carli Lloyd,United States,2016,Volleyball,Bronze,0,1,0.5
Karsta Lowe,United States,2016,Volleyball,Bronze,0,1,0.5
Kelly Murphy,United States,2016,Volleyball,Bronze,0,1,0.5
Kelsey Robinson,United States,2016,Volleyball,Bronze,0,1,0.5
Courtney Thompson,United States,2016,Volleyball,Bronze,0,4,1
Foluke Akinradewo,United States,2020,Volleyball,Gold,0,9,1.5
Michelle Bartsch-hackley,United States,2020,Volleyball,Gold,0,5,0.5
Andrea Drews,United States,2020,Volleyball,Gold,0,5,0.5
Micha Hancock,United States,2020,Volleyball,Gold,0,5,0.5
Kimberly Hill,United States,2020,Volleyball,Gold,0,6,1
Jordan Larson,United States,2020,Volleyball,Gold,0,5,0.5
Chiaka Ogbogu,United States,2020,Volleyball,Gold,0,5,0.5
Jordyn Poulter,United States,2020,Volleyball,Gold,0,5,0.5
Kelsey Robinson,United States,2020,Volleyball,Gold,0,6,1
Jordan Thompson,United States,2020,Volleyball,Gold,0,5,0.5
Haleigh Washington,United States,2020,Volleyball,Gold,0,5,0.5
Justine Wong-orantes,United States,2020,Volleyball,Gold,0,5,0.5
Lauren Carlini,United States,2024,Volleyball,Silver,0,3,0.5
Andrea Drews,United States,2024,Volleyball,Silver,0,8,1
Micha Hancock,United States,2024,Volleyball,Silver,0,8,1
Jordan Larson,United States,2024,Volleyball,Silver,0,8,1
Chiaka Ogbogu,United States,2024,Volleyball,Silver,0,8,1
Kathryn Plummer,United States,2024,Volleyball,Silver,0,3,0.5
Jordyn Poulter,United States,2024,Volleyball,Silver,0,8,1
Dana Rettke,United States,2024,Volleyball,Silver,0,3,0.5
Kelsey Robinson,United States,2024,Volleyball,Silver,0,9,1.5
Avery Skinner,United States,2024,Volleyball,Silver,0,3,0.5
Jordan Thompson,United States,2024,Volleyball,Silver,0,8,1
Haleigh Washington,United States,2024,Volleyball,Silver,0,8,1
Justine Wong-orantes,United States,2024,Volleyball,Silver,0,8,1
