Year,Host,NOC,isHost,Gold,Total,gold_ratio,total_ratio,Avg_X_Gold,Avg_X_Total,Count
1920,Belgium,Netherlands,0,4,11,0.025806452,0.025114155,1,5.25,213
1920,Belgium,New Zealand,0,0,1,0,0.002283105,0,1,6
1920,Belgium,Norway,0,13,31,0.083870968,0.070776256,5,12.75,267
1920,Belgium,South Africa,0,3,10,0.019354839,0.02283105,3,10,97
1920,Belgium,Spain,0,0,2,0,0.00456621,0,2,111
1920,Belgium,Sweden,0,19,64,0.122580645,0.146118721,12.5,38.75,404
1920,Belgium,Switzerland,0,2,11,0.012903226,0.025114155,2.5,6.5,126
1920,Belgium,United States,0,41,95,0.264516129,0.216894977,41.5,109.25,473
1924,France,Argentina,0,1,6,0.007936508,0.015873016,1,6,109
1924,France,Australia,0,3,6,0.023809524,0.015873016,1.25,4.5,60
1924,France,Austria,0,0,4,0,0.010582011,0.25,3,56
1924,France,Belgium,0,3,13,0.023809524,0.034391534,5,15.75,234
1924,France,Canada,0,0,4,0,0.010582011,2.25,9.25,83
1924,France,Czechoslovakia,0,1,10,0.007936508,0.026455026,1,10,242
1924,France,Denmark,0,2,9,0.015873016,0.023809524,1.5,9.75,158
1924,France,Estonia,0,1,6,0.007936508,0.015873016,1,6,47
1924,France,Finland,0,14,37,0.111111111,0.097883598,9.75,25.5,253
1924,France,France,1,13,38,0.103174603,0.100529101,8.5,28,636
1924,France,Great Britain,0,9,34,0.071428571,0.08994709,22.25,65.75,428
1924,France,Haiti,0,0,1,0,0.002645503,0,1,16
1924,France,Hungary,0,2,9,0.015873016,0.023809524,2.5,7.5,140
1924,France,Italy,0,8,16,0.063492063,0.042328042,6.5,12.25,333
1924,France,Japan,0,0,1,0,0.002645503,0,1,37
1924,France,Netherlands,0,4,10,0.031746032,0.026455026,2,6.5,246
1924,France,New Zealand,0,0,1,0,0.002645503,0,1,6
1924,France,Norway,0,5,10,0.03968254,0.026455026,5.75,14.75,105
1924,France,Poland,0,0,2,0,0.005291005,0,2,100
1924,France,Portugal,0,0,1,0,0.002645503,0,1,47
1924,France,Romania,0,0,1,0,0.002645503,0,1,45
1924,France,Serbia,0,2,2,0.015873016,0.005291005,2,2,116
1924,France,South Africa,0,1,3,0.007936508,0.007936508,2.25,5.25,44
1924,France,Sweden,0,4,29,0.031746032,0.076719577,13.5,45.75,256
1924,France,Switzerland,0,7,25,0.055555556,0.066137566,4,12,262
1924,France,United States,0,45,99,0.357142857,0.261904762,33.75,76.25,459
1924,France,Uruguay,0,1,1,0.007936508,0.002645503,1,1,40
1928,Netherlands,Argentina,0,3,7,0.027272727,0.021406728,3,7,98
1928,Netherlands,Australia,0,1,4,0.009090909,0.012232416,1,4.25,29
1928,Netherlands,Austria,0,2,3,0.018181818,0.009174312,0.5,3,113
1928,Netherlands,Belgium,0,0,3,0,0.009174312,4.75,14.5,260
1928,Netherlands,Canada,0,4,15,0.036363636,0.04587156,2.5,9,113
1928,Netherlands,Chile,0,0,1,0,0.003058104,0,1,46
1928,Netherlands,Czechoslovakia,0,2,9,0.018181818,0.027522936,2,9,147
1928,Netherlands,Denmark,0,3,6,0.027272727,0.018348624,2.25,10,122
1928,Netherlands,Egypt,0,2,4,0.018181818,0.012232416,2,4,43
1928,Netherlands,Estonia,0,2,5,0.018181818,0.01529052,2,5,23
1928,Netherlands,Finland,0,8,25,0.072727273,0.076452599,11.5,30.5,132
1928,Netherlands,France,0,6,21,0.054545455,0.064220183,8.75,28.5,422
1928,Netherlands,Germany,0,10,31,0.090909091,0.094801223,5.5,21,399
1928,Netherlands,Great Britain,0,3,20,0.027272727,0.06116208,9,34.25,354
1928,Netherlands,Haiti,0,0,1,0,0.003058104,0,1,3
1928,Netherlands,Hungary,0,4,9,0.036363636,0.027522936,3,8.75,219
1928,Netherlands,India,0,1,1,0.009090909,0.003058104,1,1,24
1928,Netherlands,Ireland,0,1,1,0.009090909,0.003058104,1,1,44
1928,Netherlands,Italy,0,7,19,0.063636364,0.058103976,7.75,16,273
1928,Netherlands,Japan,0,2,5,0.018181818,0.01529052,2,5,56
1928,Netherlands,Netherlands,1,6,19,0.054545455,0.058103976,3.5,10.75,384
1928,Netherlands,New Zealand,0,1,1,0.009090909,0.003058104,1,1,13
1928,Netherlands,Norway,0,1,4,0.009090909,0.012232416,5.5,13.75,79
1928,Netherlands,Philippines,0,0,1,0,0.003058104,0,1,6
1928,Netherlands,Poland,0,1,5,0.009090909,0.01529052,1,5,146
1928,Netherlands,Portugal,0,0,1,0,0.003058104,0,1,39
1928,Netherlands,Serbia,0,1,5,0.009090909,0.01529052,1,5,86
1928,Netherlands,South Africa,0,1,3,0.009090909,0.009174312,2.25,5.5,40
1928,Netherlands,Spain,0,1,1,0.009090909,0.003058104,1,1,106
1928,Netherlands,Sweden,0,7,25,0.063636364,0.076452599,13.25,45.75,139
1928,Netherlands,Switzerland,0,7,15,0.063636364,0.04587156,4.25,13.5,236
1928,Netherlands,United States,0,22,56,0.2,0.171253823,33.5,78.5,426
1928,Netherlands,Uruguay,0,1,1,0.009090909,0.003058104,1,1,17
1932,United States,Argentina,0,3,4,0.024,0.010810811,3,4,47
1932,United States,Australia,0,3,5,0.024,0.013513514,1.75,4.5,20
1932,United States,Austria,0,1,5,0.008,0.013513514,0.75,4,33
1932,United States,Belgium,0,0,1,0,0.002702703,4.25,13.25,69
1932,United States,Canada,0,2,16,0.016,0.043243243,2.25,11,191
1932,United States,Czechoslovakia,0,1,6,0.008,0.016216216,1,6.75,44
1932,United States,Denmark,0,0,8,0,0.021621622,2,9,94
1932,United States,Finland,0,5,25,0.04,0.067567568,10.5,30.25,66
1932,United States,France,0,11,20,0.088,0.054054054,9.75,30,159
1932,United States,Germany,0,5,24,0.04,0.064864865,5.75,23.25,202
1932,United States,Great Britain,0,5,17,0.04,0.045945946,7.75,28.25,170
1932,United States,Hungary,0,6,16,0.048,0.043243243,3.75,10.5,118
1932,United States,India,0,1,1,0.008,0.002702703,1,1,26
1932,United States,Ireland,0,2,2,0.016,0.005405405,2,2,18
1932,United States,Italy,0,12,36,0.096,0.097297297,10,23.5,154
1932,United States,Japan,0,7,18,0.056,0.048648649,2.25,6.5,203
1932,United States,Latvia,0,0,1,0,0.002702703,0,1,13
1932,United States,Mexico,0,0,2,0,0.005405405,0,2,100
1932,United States,Netherlands,0,2,8,0.016,0.021621622,4,12,80
1932,United States,New Zealand,0,0,1,0,0.002702703,0.25,1,29
1932,United States,Philippines,0,0,3,0,0.008108108,0,3,8
1932,United States,Poland,0,3,9,0.024,0.024324324,3,9,71
1932,United States,South Africa,0,2,5,0.016,0.013513514,1.75,5.25,20
1932,United States,Spain,0,0,1,0,0.002702703,0.5,1.25,8
1932,United States,Sweden,0,10,24,0.08,0.064864865,10,35.5,128
1932,United States,Switzerland,0,0,1,0,0.002702703,4,13,9
1932,United States,United States,1,44,110,0.352,0.297297297,38,90,743
1932,United States,Uruguay,0,0,1,0,0.002702703,0,1,6
1936,Germany,Argentina,0,2,7,0.014184397,0.016587678,2.25,6,68
1936,Germany,Australia,0,0,1,0,0.002369668,1.75,4,39
1936,Germany,Austria,0,5,17,0.035460993,0.04028436,2,7.25,363
1936,Germany,Belgium,0,0,3,0,0.007109005,0.75,5,205
1936,Germany,Canada,0,1,9,0.007092199,0.021327014,1.75,11,167
1936,Germany,Czechoslovakia,0,3,9,0.021276596,0.021327014,1.75,8.5,293
1936,Germany,Denmark,0,0,5,0,0.011848341,1.25,7,173
1936,Germany,Egypt,0,2,5,0.014184397,0.011848341,2,5,66
1936,Germany,Estonia,0,2,7,0.014184397,0.016587678,1.5,5.25,36
1936,Germany,Finland,0,8,20,0.056737589,0.047393365,8.75,26.75,186
1936,Germany,France,0,7,19,0.04964539,0.045023697,9.25,24.5,303
1936,Germany,Germany,1,38,101,0.269503546,0.239336493,14.5,45.25,581
1936,Germany,Great Britain,0,4,14,0.028368794,0.033175355,5.25,21.25,250
1936,Germany,Hungary,0,10,16,0.070921986,0.037914692,5.5,12.5,335
1936,Germany,India,0,1,1,0.007092199,0.002369668,0.75,1.25,30
1936,Germany,Italy,0,9,27,0.063829787,0.063981043,9,24.5,349
1936,Germany,Japan,0,6,20,0.042553191,0.047393365,3.75,11,325
1936,Germany,Latvia,0,0,2,0,0.004739336,0,2,33
1936,Germany,Mexico,0,0,3,0,0.007109005,0,3,32
1936,Germany,Netherlands,0,6,17,0.042553191,0.04028436,4.5,13.5,227
1936,Germany,New Zealand,0,1,1,0.007092199,0.002369668,0.5,1,9
1936,Germany,Norway,0,1,6,0.007092199,0.014218009,5,12.75,84
1936,Germany,Philippines,0,0,1,0,0.002369668,0,1,40
1936,Germany,Poland,0,0,9,0,0.021327014,1,6.25,177
1936,Germany,Portugal,0,0,1,0,0.002369668,0,1,26
1936,Germany,Romania,0,0,1,0,0.002369668,0,1,118
1936,Germany,Serbia,0,0,1,0,0.002369668,0,1,173
1936,Germany,South Africa,0,0,1,0,0.002369668,1,3,54
1936,Germany,Sweden,0,6,21,0.042553191,0.049763033,6.75,24.75,231
1936,Germany,Switzerland,0,4,18,0.028368794,0.042654028,4.5,14.75,328
1936,Germany,Turkey,0,1,2,0.007092199,0.004739336,1,2,62
1936,Germany,United States,0,24,57,0.170212766,0.13507109,33.75,80.5,487
1948,United Kingdom,Argentina,0,3,7,0.02173913,0.01703163,2.75,6.25,295
1948,United Kingdom,Australia,0,2,13,0.014492754,0.03163017,1.5,5.75,103
1948,United Kingdom,Austria,0,1,4,0.007246377,0.00973236,2.25,7.25,239
1948,United Kingdom,Belgium,0,2,7,0.014492754,0.01703163,0.5,3.5,182
1948,United Kingdom,Brazil,0,0,1,0,0.00243309,0,1,105
1948,United Kingdom,Canada,0,0,3,0,0.00729927,1.75,10.75,188
1948,United Kingdom,Cuba,0,0,1,0,0.00243309,0,1,112
1948,United Kingdom,Czechoslovakia,0,6,11,0.043478261,0.02676399,3,8.75,153
1948,United Kingdom,Denmark,0,5,20,0.036231884,0.0486618,2,9.75,253
1948,United Kingdom,Egypt,0,2,5,0.014492754,0.01216545,2,5,166
1948,United Kingdom,Finland,0,8,20,0.057971014,0.0486618,7.25,22.5,215
1948,United Kingdom,France,0,10,29,0.072463768,0.070559611,8.5,22.25,433
1948,United Kingdom,Great Britain,0,3,23,0.02173913,0.055961071,3.75,18.5,590
1948,United Kingdom,Hungary,0,10,27,0.072463768,0.065693431,7.5,17,222
1948,United Kingdom,India,0,1,1,0.007246377,0.00243309,1,1,89
1948,United Kingdom,Iran,0,0,1,0,0.00243309,0,1,39
1948,United Kingdom,Italy,0,8,27,0.057971014,0.065693431,9,27.25,310
1948,United Kingdom,Jamaica,0,1,3,0.007246377,0.00729927,1,3,26
1948,United Kingdom,Mexico,0,2,5,0.014492754,0.01216545,2,5,149
1948,United Kingdom,Netherlands,0,5,16,0.036231884,0.03892944,4.75,15,187
1948,United Kingdom,Norway,0,1,7,0.007246377,0.01703163,2,6.75,97
1948,United Kingdom,Panama,0,0,2,0,0.00486618,0,2,2
1948,United Kingdom,Peru,0,1,1,0.007246377,0.00243309,1,1,49
1948,United Kingdom,Poland,0,0,1,0,0.00243309,1,6,52
1948,United Kingdom,Portugal,0,0,2,0,0.00486618,0,1.25,65
1948,United Kingdom,Puerto Rico,0,0,1,0,0.00243309,0,1,9
1948,United Kingdom,Serbia,0,0,2,0,0.00486618,0.75,2.5,162
1948,United Kingdom,South Africa,0,2,4,0.014492754,0.00973236,1.25,3.25,43
1948,United Kingdom,South Korea,0,0,2,0,0.00486618,0,2,48
1948,United Kingdom,Spain,0,0,1,0,0.00243309,0.25,1.25,84
1948,United Kingdom,Sweden,0,16,44,0.115942029,0.107055961,9.75,28.5,223
1948,United Kingdom,Switzerland,0,5,20,0.036231884,0.0486618,4,13.5,287
1948,United Kingdom,Trinidad and Tobago,0,0,1,0,0.00243309,0,1,9
1948,United Kingdom,Turkey,0,6,12,0.043478261,0.02919708,6,12,87
1948,United Kingdom,United States,0,38,84,0.275362319,0.204379562,32,76.75,424
1948,United Kingdom,Uruguay,0,0,2,0,0.00486618,0.5,1.25,79
1952,Finland,Argentina,0,1,5,0.006711409,0.010893246,2.25,5.75,174
1952,Finland,Australia,0,6,11,0.040268456,0.023965142,2.75,7.5,140
1952,Finland,Austria,0,0,2,0,0.004357298,1.75,7,238
1952,Finland,Belgium,0,2,4,0.013422819,0.008714597,1,3.75,184
1952,Finland,Brazil,0,1,3,0.006711409,0.006535948,1,3,119
1952,Finland,Bulgaria,0,0,1,0,0.002178649,0,1,179
1952,Finland,Canada,0,1,3,0.006711409,0.006535948,1,7.75,154
1952,Finland,Chile,0,0,2,0,0.004357298,0,2,82
1952,Finland,Czechoslovakia,0,7,13,0.046979866,0.02832244,4.25,9.75,218
1952,Finland,Denmark,0,2,6,0.013422819,0.013071895,1.75,9.75,201
1952,Finland,Egypt,0,0,1,0,0.002178649,1.5,3.75,196
1952,Finland,Finland,1,6,22,0.040268456,0.047930283,6.75,21.75,412
1952,Finland,France,0,6,18,0.040268456,0.039215686,8.5,21.5,408
1952,Finland,Germany,0,0,24,0,0.052287582,13.25,45,365
1952,Finland,Great Britain,0,1,11,0.006711409,0.023965142,3.25,16.25,401
1952,Finland,Hungary,0,16,42,0.10738255,0.091503268,10.5,25.25,345
1952,Finland,India,0,1,2,0.006711409,0.004357298,1,1.25,94
1952,Finland,Iran,0,0,7,0,0.015250545,0,7,23
1952,Finland,Ireland,0,0,1,0,0.002178649,0,1,25
1952,Finland,Italy,0,8,21,0.053691275,0.045751634,9.25,27.75,376
1952,Finland,Jamaica,0,2,5,0.013422819,0.010893246,2,5,16
1952,Finland,Japan,0,1,9,0.006711409,0.019607843,4,13,133
1952,Finland,Luxembourg,0,1,1,0.006711409,0.002178649,1,1,101
1952,Finland,Mexico,0,0,1,0,0.002178649,0.5,2.75,85
1952,Finland,Netherlands,0,0,5,0,0.010893246,3.25,11.5,11
1952,Finland,Netherlands,0,0,5,0,0.010893246,3.25,11.5,180
1952,Finland,New Zealand,0,1,3,0.006711409,0.006535948,0.75,1.5,20
1952,Finland,Norway,0,3,5,0.020134228,0.010893246,1.5,5.5,190
1952,Finland,Poland,0,1,4,0.006711409,0.008714597,1,5.75,248
1952,Finland,Portugal,0,0,1,0,0.002178649,0,1.25,155
1952,Finland,Romania,0,1,4,0.006711409,0.008714597,1,4,241
1952,Finland,Russia,0,22,71,0.147651007,0.154684096,22,71,451
1952,Finland,Serbia,0,1,3,0.006711409,0.006535948,0.5,2.75,194
1952,Finland,South Africa,0,2,10,0.013422819,0.021786492,1.5,5,109
1952,Finland,South Korea,0,0,2,0,0.004357298,0,2,22
1952,Finland,Spain,0,0,1,0,0.002178649,0.25,1,42
1952,Finland,Sweden,0,12,35,0.080536913,0.076252723,11,31,355
1952,Finland,Switzerland,0,2,14,0.013422819,0.030501089,2.75,13.25,251
1952,Finland,Trinidad and Tobago,0,0,2,0,0.004357298,0,2,2
1952,Finland,Turkey,0,2,3,0.013422819,0.006535948,2,3,58
1952,Finland,United States,0,40,76,0.268456376,0.165577342,36.5,81.75,451
1952,Finland,Uruguay,0,0,2,0,0.004357298,0.25,1.5,42
1952,Finland,Venezuela,0,0,1,0,0.002178649,0,1,63
1956,Australia,Argentina,0,0,2,0,0.004264392,1.5,5.25,44
1956,Australia,Australia,1,13,35,0.08496732,0.074626866,5.25,15,412
1956,Australia,Austria,0,0,2,0,0.004264392,1.5,6.25,57
1956,Australia,Bahamas,0,0,1,0,0.002132196,0,1,5
1956,Australia,Belgium,0,0,2,0,0.004264392,1,4,82
1956,Australia,Brazil,0,1,1,0.006535948,0.002132196,0.75,2,63
1956,Australia,Bulgaria,0,1,5,0.006535948,0.010660981,1,5,82
1956,Australia,Canada,0,2,6,0.013071895,0.012793177,1,5.25,150
1956,Australia,Chile,0,0,4,0,0.008528785,0,4,43
1956,Australia,Czechoslovakia,0,1,6,0.006535948,0.012793177,4.25,9.75,161
1956,Australia,Denmark,0,1,4,0.006535948,0.008528785,2,8.75,51
1956,Australia,Finland,0,3,15,0.019607843,0.031982942,6.25,19.25,147
1956,Australia,France,0,4,14,0.026143791,0.029850746,6.75,20,227
1956,Australia,Great Britain,0,6,24,0.039215686,0.051172708,3.5,18,283
1956,Australia,Greece,0,0,1,0,0.002132196,0.25,2,16
1956,Australia,Hungary,0,9,26,0.058823529,0.0554371,11.25,27.75,197
1956,Australia,Iceland,0,0,1,0,0.002132196,0,1,2
1956,Australia,India,0,1,1,0.006535948,0.002132196,1,1.25,79
1956,Australia,Iran,0,2,5,0.013071895,0.010660981,2,5,17
1956,Australia,Ireland,0,1,5,0.006535948,0.010660981,1,2.25,25
1956,Australia,Italy,0,8,25,0.052287582,0.053304904,8.25,25,207
1956,Australia,Japan,0,4,19,0.026143791,0.040511727,4.5,16.5,222
1956,Australia,Mexico,0,1,2,0.006535948,0.004264392,0.75,2.75,36
1956,Australia,New Zealand,0,2,2,0.013071895,0.004264392,1,1.75,57
1956,Australia,Norway,0,1,3,0.006535948,0.006396588,1.5,5.25,29
1956,Australia,Pakistan,0,0,1,0,0.002132196,0,1,79
1956,Australia,Poland,0,1,9,0.006535948,0.019189765,0.5,5.75,118
1956,Australia,Romania,0,5,13,0.032679739,0.02771855,1.5,4.75,103
1956,Australia,Russia,0,37,98,0.241830065,0.208955224,15,44.25,411
1956,Australia,Serbia,0,0,3,0,0.006396588,0.25,2.25,37
1956,Australia,South Africa,0,0,4,0,0.008528785,1,4.75,90
1956,Australia,South Korea,0,0,2,0,0.004264392,0,2,36
1956,Australia,Sweden,0,8,19,0.052287582,0.040511727,10.5,29.75,186
1956,Australia,Switzerland,0,0,1,0,0.002132196,2.75,13.25,18
1956,Australia,Turkey,0,3,7,0.019607843,0.014925373,3,6,28
1956,Australia,United States,0,32,74,0.209150327,0.157782516,33.5,72.75,443
1956,Australia,Uruguay,0,0,1,0,0.002132196,0,1.5,29
1960,Italy,Argentina,0,0,2,0,0.004338395,1,4,116
1960,Italy,Australia,0,8,22,0.052631579,0.047722343,7.25,20.25,280
1960,Italy,Austria,0,1,2,0.006578947,0.004338395,0.5,2.5,198
1960,Italy,Belgium,0,0,4,0,0.00867679,1,4.25,150
1960,Italy,Brazil,0,0,2,0,0.004338395,0.5,1.75,86
1960,Italy,Bulgaria,0,1,7,0.006578947,0.015184382,1,7,183
1960,Italy,Canada,0,0,1,0,0.002169197,0.75,3.25,140
1960,Italy,Czechoslovakia,0,3,8,0.019736842,0.017353579,4.25,9.5,202
1960,Italy,Denmark,0,2,6,0.013157895,0.013015184,2.5,9,109
1960,Italy,Ethiopia,0,1,1,0.006578947,0.002169197,1,1,15
1960,Italy,Finland,0,1,5,0.006578947,0.010845987,4.5,15.5,219
1960,Italy,France,0,0,5,0,0.010845987,5,16.5,363
1960,Italy,Ghana,0,0,1,0,0.002169197,0,1,15
1960,Italy,Great Britain,0,2,20,0.013157895,0.043383948,3,19.5,389
1960,Italy,Greece,0,1,1,0.006578947,0.002169197,0.5,1.25,59
1960,Italy,Hungary,0,6,21,0.039473684,0.045553145,10.25,29,312
1960,Italy,India,0,0,1,0,0.002169197,0.75,1.25,49
1960,Italy,Iran,0,0,4,0,0.00867679,0.5,4.25,24
1960,Italy,Iraq,0,0,1,0,0.002169197,0,1,28
1960,Italy,Italy,1,13,36,0.085526316,0.078091106,9.25,27.25,402
1960,Italy,Japan,0,4,18,0.026315789,0.039045553,3.75,16.5,278
1960,Italy,Mexico,0,0,1,0,0.002169197,0.75,2.25,110
1960,Italy,Morocco,0,0,1,0,0.002169197,0,1,111
1960,Italy,Netherlands,0,0,3,0,0.006507592,2.75,10.25,5
1960,Italy,Netherlands,0,0,3,0,0.006507592,2.75,10.25,160
1960,Italy,New Zealand,0,2,3,0.013157895,0.006507592,1.5,2.25,47
1960,Italy,Norway,0,1,1,0.006578947,0.002169197,1.5,4,50
1960,Italy,Pakistan,0,1,2,0.006578947,0.004338395,1,2,53
1960,Italy,Poland,0,4,21,0.026315789,0.045553145,1.5,8.75,307
1960,Italy,Portugal,0,0,1,0,0.002169197,0,1.25,109
1960,Italy,Romania,0,3,10,0.019736842,0.021691974,2.25,7,156
1960,Italy,Russia,0,43,103,0.282894737,0.223427332,25.5,69.25,414
1960,Italy,Serbia,0,1,2,0.006578947,0.004338395,0.5,2.5,185
1960,Italy,Singapore,0,0,1,0,0.002169197,0,1,5
1960,Italy,South Africa,0,0,3,0,0.006507592,1,5.25,72
1960,Italy,Spain,0,0,1,0,0.002169197,0,1,238
1960,Italy,Sweden,0,1,6,0.006578947,0.013015184,9.25,26,258
1960,Italy,Switzerland,0,0,6,0,0.013015184,1.75,10.25,221
1960,Italy,Turkey,0,7,9,0.046052632,0.019522777,4.5,7.75,58
1960,Italy,United States,0,34,71,0.223684211,0.154013015,36,76.25,428
1960,Italy,Venezuela,0,0,1,0,0.002169197,0,1,54
