Name,NOC,Year,Sport,isCoached,Scoring_Current,ExperienceScoring,Scoring_Last4
Gong Xiangyu,CHN,2016,Volleyball,1,5,0,0
Hui Ruoqi,CHN,2016,Volleyball,1,5,1,0
Lin Li,CHN,2016,Volleyball,1,5,0,0
Liu Xiaotong,CHN,2016,Volleyball,1,5,0,0
Yan Ni,CHN,2016,Volleyball,1,5,0,0
Yang Fangxu,CHN,2016,Volleyball,1,5,0,0
Yuan Xinyue,CHN,2016,Volleyball,1,5,0,0
Zhang Changning,CHN,2016,Volleyball,1,5,0,0
Zhu Ting,CHN,2016,Volleyball,1,5,0,0
Christa Harmotto-dietzen,United States,2016,Volleyball,0,4,1,3
Courtney Thompson,United States,2016,Volleyball,0,4,1,3
Foluke Akinradewo,United States,2016,Volleyball,0,4,1,3
Jordan Larson-burbach,United States,2016,Volleyball,0,4,1,3
Alisha Glass,United States,2016,Volleyball,0,1,0,0
Carli Lloyd,United States,2016,Volleyball,0,1,0,0
Karsta Lowe,United States,2016,Volleyball,0,1,0,0
Kayla Banwarth,United States,2016,Volleyball,0,1,0,0
Kelly Murphy,United States,2016,Volleyball,0,1,0,0
Kelsey Robinson,United States,2016,Volleyball,0,1,0,0
Kimberly Hill,United States,2016,Volleyball,0,1,0,0
Rachael Adams,United States,2016,Volleyball,0,1,0,0
Foluke Akinradewo,United States,2020,Volleyball,0,9,1,4
Kelsey Robinson,United States,2020,Volleyball,0,6,1,1
Kimberly Hill,United States,2020,Volleyball,0,6,1,1
Andrea Drews,United States,2020,Volleyball,0,5,0,0
Chiaka Ogbogu,United States,2020,Volleyball,0,5,0,0
Haleigh Washington,United States,2020,Volleyball,0,5,0,0
Jordan Larson,United States,2020,Volleyball,0,5,0,0
Jordan Thompson,United States,2020,Volleyball,0,5,0,0
Jordyn Poulter,United States,2020,Volleyball,0,5,0,0
Justine Wong-orantes,United States,2020,Volleyball,0,5,0,0
Micha Hancock,United States,2020,Volleyball,0,5,0,0
Michelle Bartsch-hackley,United States,2020,Volleyball,0,5,0,0
Changning Zhang,CHN,2020,Volleyball,1,0,0,0
Di Yao,CHN,2020,Volleyball,1,0,0,0
Mengjie Wang,CHN,2020,Volleyball,1,0,0,0
Ni Yan,CHN,2020,Volleyball,1,0,0,0
Ting Zhu,CHN,2020,Volleyball,1,0,0,0
Xia Ding,CHN,2020,Volleyball,1,0,0,0
Xiangyu Gong,CHN,2020,Volleyball,1,0,0,0
Xiaotong Liu,CHN,2020,Volleyball,1,0,0,0
Xinyue Yuan,CHN,2020,Volleyball,1,0,0,0
Yanhan Liu,CHN,2020,Volleyball,1,0,0,0
Yingying Li,CHN,2020,Volleyball,1,0,0,0
Yuanyuan Wang,CHN,2020,Volleyball,1,0,0,0
Kelsey Robinson,United States,2024,Volleyball,0,9,1,6
Andrea Drews,United States,2024,Volleyball,0,8,1,5
Chiaka Ogbogu,United States,2024,Volleyball,0,8,1,5
Haleigh Washington,United States,2024,Volleyball,0,8,1,5
Jordan Larson,United States,2024,Volleyball,0,8,1,5
Jordan Thompson,United States,2024,Volleyball,0,8,1,5
Jordyn Poulter,United States,2024,Volleyball,0,8,1,5
Justine Wong-orantes,United States,2024,Volleyball,0,8,1,5
Micha Hancock,United States,2024,Volleyball,0,8,1,5
Avery Skinner,United States,2024,Volleyball,0,3,0,0
Dana Rettke,United States,2024,Volleyball,0,3,0,0
Kathryn Plummer,United States,2024,Volleyball,0,3,0,0
Lauren Carlini,United States,2024,Volleyball,0,3,0,0
Changning Zhang,CHN,2024,Volleyball,0,0,1,0
Linyu Diao,CHN,2024,Volleyball,0,0,0,0
Mengjie Wang,CHN,2024,Volleyball,0,0,1,0
Mengjie Wu,CHN,2024,Volleyball,0,0,0,0
Ting Zhu,CHN,2024,Volleyball,0,0,1,0
Xia Ding,CHN,2024,Volleyball,0,0,1,0
Xiangyu Gong,CHN,2024,Volleyball,0,0,1,0
Xinyue Yuan,CHN,2024,Volleyball,0,0,1,0
Yi Gao,CHN,2024,Volleyball,0,0,0,0
Yingying Li,CHN,2024,Volleyball,0,0,1,0
Yixin Zheng,CHN,2024,Volleyball,0,0,0,0
Yuanyuan Wang,CHN,2024,Volleyball,0,0,1,0
Yushan Zhuang,CHN,2024,Volleyball,0,0,0,0
Alina Goreac,Romania,1972,Gymnastics,0,0,0,0
Anca (-mihilescu),Romania,1972,Gymnastics,0,0,0,0
Anca (-mihilescu),Romania,1976,Gymnastics,1,3,1,0
Atanasia (-albu),Romania,1960,Gymnastics,0,1,0,0
Atanasia (-albu),Romania,1964,Gymnastics,0,0,1,1
Cristina (-ionia),Romania,1964,Gymnastics,0,0,0,0
Cristina Grigora,Romania,1980,Gymnastics,1,3,0,0
Dumitria Turner,Romania,1980,Gymnastics,1,3,0,0
Elena (-teodorescu),Romania,1960,Gymnastics,0,1,0,0
Elena (-teodorescu),Romania,1964,Gymnastics,0,0,1,1
Elena Ceampelea,Romania,1964,Gymnastics,0,0,0,0
Elena Ceampelea,Romania,1972,Gymnastics,0,0,1,0
Elena -fodor),Romania,1960,Gymnastics,0,1,0,0
Elisabeta Turcu,Romania,1972,Gymnastics,0,0,0,0
Emilia Vtoiu-li,Romania,1960,Gymnastics,0,1,0,0
Emilia Vtoiu-li,Romania,1964,Gymnastics,0,0,1,1
Gabriela Truc,Romania,1976,Gymnastics,1,3,0,0
Georgeta Gabor,Romania,1976,Gymnastics,1,3,0,0
Gertrd (-kollar),Romania,1980,Gymnastics,1,6,0,0
Marcela Punescu,Romania,1972,Gymnastics,0,0,0,0
Mariana Constantin,Romania,1976,Gymnastics,1,3,0,0
Melita (-fleischer),Romania,1980,Gymnastics,1,5,0,0
Nadia (-conner),Romania,1976,Gymnastics,1,19,0,0
Nadia (-conner),Romania,1980,Gymnastics,1,16,1,19
Paula Ioan,Romania,1972,Gymnastics,0,0,0,0
Rodica (-kszegi),Romania,1980,Gymnastics,1,3,0,0
Sonia Iovan-inovan,Romania,1960,Gymnastics,0,1,0,0
Sonia Iovan-inovan,Romania,1964,Gymnastics,0,0,1,1
Teodora (-cepoi),Romania,1976,Gymnastics,1,7,0,0
Uta Poreceanu-schlandt,Romania,1960,Gymnastics,0,1,0,0
