NOC,country,Sport,gold_count,total_medals,athlete_count
ARU,Aruba,Cycling BMX Racing,0,1,1
ARU,Aruba,Fencing,0,2,1
ARU,Aruba,Judo,0,5,4
ARU,Aruba,Sailing,0,6,6
ARU,Aruba,Shooting,0,2,2
ARU,Aruba,Swimming,0,15,8
ARU,Aruba,Synchronized Swimming,0,4,2
ARU,Aruba,Taekwondo,0,1,1
ARU,Aruba,Weightlifting,0,3,2
ASA,American Samoa,Archery,0,1,1
ASA,American Samoa,Athletics,0,13,10
ASA,American Samoa,Boxing,0,5,2
ASA,American Samoa,Judo,0,3,3
ASA,American Samoa,Sailing,0,4,4
ASA,American Samoa,Swimming,0,7,6
ASA,American Samoa,Weightlifting,0,8,7
ASA,American Samoa,Wrestling,0,2,2
AUS,Australia,3x3 Basketball,0,4,4
AUS,Australia,"3x3 Basketball, Basketball",0,1,1
AUS,Australia,Archery,1,86,33
AUS,Australia,Art Competitions,0,3,2
AUS,Australia,Artistic Gymnastics,0,52,8
AUS,Australia,Artistic Swimming,0,21,16
AUS,Australia,Athletics,25,1149,590
AUS,Australia,Badminton,0,65,38
AUS,Australia,Baseball,0,68,59
AUS,Australia,Baseball/Softball,0,15,15
AUS,Australia,Basketball,0,309,181
AUS,Australia,Beach Volleyball,2,46,29
AUS,Australia,Boxing,0,142,128
AUS,Australia,Breaking,0,2,2
AUS,Australia,Canoe Slalom,4,12,6
AUS,Australia,Canoe Sprint,2,38,22
AUS,Australia,Canoeing,6,242,127
AUS,Australia,Cycling,26,428,212
AUS,Australia,Cycling BMX Freestyle,1,4,2
AUS,Australia,Cycling BMX Racing,1,6,4
AUS,Australia,Cycling Mountain Bike,0,3,3
AUS,Australia,Cycling Road,1,19,14
AUS,Australia,Cycling Track,5,69,22
AUS,Australia,Diving,3,170,75
AUS,Australia,Equestrian,0,40,16
AUS,Australia,Equestrianism,18,231,73
AUS,Australia,Fencing,0,147,67
AUS,Australia,Football,0,224,194
AUS,Australia,Golf,0,12,9
AUS,Australia,Gymnastics,0,513,71
AUS,Australia,Handball,0,30,30
AUS,Australia,Hockey,64,452,284
AUS,Australia,Judo,0,93,73
AUS,Australia,Karate,0,1,1
AUS,Australia,Marathon Swimming,0,5,5
AUS,Australia,"Marathon Swimming, Swimming",0,2,1
AUS,Australia,Modern Pentathlon,1,56,26
AUS,Australia,Rhythmic Gymnastics,0,19,18
AUS,Australia,Rowing,30,587,393
AUS,Australia,Rugby Sevens,12,76,58
AUS,Australia,Sailing,26,235,158
AUS,Australia,Shooting,5,287,125
AUS,Australia,Skateboarding,3,14,11
AUS,Australia,Softball,0,60,33
AUS,Australia,Sport Climbing,0,4,3
AUS,Australia,Surfing,0,8,8
AUS,Australia,Swimming,155,1430,446
AUS,Australia,Synchronized Swimming,0,57,35
AUS,Australia,Table Tennis,0,96,33
AUS,Australia,Taekwondo,1,29,21
AUS,Australia,Tennis,4,125,54
AUS,Australia,Trampoline Gymnastics,0,3,3
AUS,Australia,Trampolining,0,6,5
AUS,Australia,Triathlon,1,45,28
AUS,Australia,Volleyball,0,48,44
AUS,Australia,Water Polo,13,301,188
AUS,Australia,Weightlifting,1,86,68
AUS,Australia,Wrestling,0,103,75
AUT,Austria,Archery,0,5,5
AUT,Austria,Art Competitions,3,199,108
AUT,Austria,Artistic Gymnastics,0,11,2
AUT,Austria,Artistic Swimming,0,4,3
AUT,Austria,Athletics,1,341,194
AUT,Austria,Badminton,0,11,8
AUT,Austria,Beach Volleyball,0,22,12
AUT,Austria,Boxing,0,37,34
AUT,Austria,Canoe Slalom,0,9,4
AUT,Austria,Canoe Sprint,0,4,2
AUT,Austria,Canoeing,4,120,65
AUT,Austria,Cycling,1,214,95
AUT,Austria,Cycling Mountain Bike,0,5,3
AUT,Austria,Cycling Road,1,12,7
AUT,Austria,Cycling Track,0,8,6
AUT,Austria,Diving,0,76,36
AUT,Austria,Equestrian,0,25,11
AUT,Austria,Equestrianism,1,110,46
AUT,Austria,Fencing,1,215,93
AUT,Austria,Football,0,50,50
AUT,Austria,Golf,0,8,7
AUT,Austria,Gymnastics,2,365,44
AUT,Austria,Handball,0,66,61
AUT,Austria,Hockey,0,55,49
AUT,Austria,Judo,2,71,47
AUT,Austria,Karate,0,1,1
AUT,Austria,Marathon Swimming,0,1,1
AUT,Austria,"Marathon Swimming, Swimming",0,4,1
AUT,Austria,Modern Pentathlon,0,38,21
AUT,Austria,Rhythmic Gymnastics,0,6,5
AUT,Austria,Rowing,0,138,104
AUT,Austria,Sailing,8,142,88
AUT,Austria,Shooting,1,195,76
AUT,Austria,Skateboarding,0,1,1
AUT,Austria,Sport Climbing,0,4,2
AUT,Austria,Swimming,2,234,100
AUT,Austria,Synchronized Swimming,0,14,9
AUT,Austria,Table Tennis,0,66,17
AUT,Austria,Taekwondo,0,4,3
AUT,Austria,Tennis,0,43,22
AUT,Austria,Trampoline Gymnastics,0,1,1
AUT,Austria,Triathlon,1,25,14
AUT,Austria,Tug-Of-War,0,8,8
AUT,Austria,Water Polo,0,28,27
AUT,Austria,Weightlifting,4,84,59
AUT,Austria,Wrestling,1,95,67
AZE,Azerbaijan,3x3 Basketball,0,4,4
AZE,Azerbaijan,Archery,0,2,2
AZE,Azerbaijan,Artistic Gymnastics,0,12,2
AZE,Azerbaijan,Athletics,0,24,20
AZE,Azerbaijan,Badminton,0,3,2
AZE,Azerbaijan,Boxing,0,47,38
AZE,Azerbaijan,Canoeing,0,7,5
AZE,Azerbaijan,Cycling,0,6,4
AZE,Azerbaijan,Cycling Road,0,1,1
AZE,Azerbaijan,Diving,0,2,1
AZE,Azerbaijan,Equestrianism,0,2,1
AZE,Azerbaijan,Fencing,0,6,4
AZE,Azerbaijan,Gymnastics,0,18,3
AZE,Azerbaijan,Judo,3,47,35
AZE,Azerbaijan,Karate,0,3,3
AZE,Azerbaijan,Rhythmic Gymnastics,0,23,17
AZE,Azerbaijan,Rowing,0,5,4
AZE,Azerbaijan,Shooting,1,19,5
AZE,Azerbaijan,Swimming,0,15,12
AZE,Azerbaijan,Taekwondo,1,12,10
AZE,Azerbaijan,Trampoline Gymnastics,0,1,1
AZE,Azerbaijan,Triathlon,0,3,1
AZE,Azerbaijan,Weightlifting,0,21,13
AZE,Azerbaijan,Wrestling,4,86,61
BAH,Bahamas,Athletics,14,288,121
BAH,Bahamas,Boxing,0,7,6
BAH,Bahamas,Cycling,0,2,2
BAH,Bahamas,Diving,0,1,1
BAH,Bahamas,Rowing,0,1,1
BAH,Bahamas,Sailing,2,54,27
BAH,Bahamas,Swimming,0,49,20
BAH,Bahamas,Tennis,0,13,4
BAH,Bahamas,Wrestling,0,2,2
BAN,Bangladesh,Archery,0,7,5
BAN,Bangladesh,Athletics,0,30,18
BAN,Bangladesh,Golf,0,1,1
BAN,Bangladesh,Gymnastics,0,3,1
BAN,Bangladesh,Shooting,0,10,9
BAN,Bangladesh,Swimming,0,17,14
BAR,Barbados,Athletics,0,117,63
BAR,Barbados,Boxing,0,9,8
BAR,Barbados,Cycling,0,24,12
BAR,Barbados,Diving,0,1,1
BAR,Barbados,Gymnastics,0,7,1
BAR,Barbados,Judo,0,5,4
BAR,Barbados,Sailing,0,15,12
BAR,Barbados,Shooting,0,8,3
BAR,Barbados,Swimming,0,40,14
BAR,Barbados,Synchronized Swimming,0,1,1
BAR,Barbados,Tennis,0,1,1
BAR,Barbados,Triathlon,0,2,2
BAR,Barbados,Weightlifting,0,2,1
BDI,Burundi,Athletics,1,39,23
BDI,Burundi,Boxing,0,1,1
BDI,Burundi,Judo,0,3,3
BDI,Burundi,Swimming,0,11,8
BEL,Belgium,3x3 Basketball,0,4,4
BEL,Belgium,Archery,35,82,31
BEL,Belgium,Art Competitions,2,171,86
BEL,Belgium,Artistic Gymnastics,1,46,7
BEL,Belgium,Athletics,6,622,336
BEL,Belgium,Badminton,0,9,5
BEL,Belgium,Basketball,0,58,51
BEL,Belgium,Beach Volleyball,0,2,2
BEL,Belgium,Boxing,1,60,60
BEL,Belgium,Canoe Slalom,0,1,1
BEL,Belgium,Canoe Sprint,0,10,3
BEL,Belgium,Canoeing,0,96,58
BEL,Belgium,Cycling,13,340,219
BEL,Belgium,Cycling BMX Racing,0,5,5
BEL,Belgium,Cycling Mountain Bike,0,5,4
BEL,Belgium,Cycling Road,2,20,11
BEL,Belgium,"Cycling Road, Cycling Track",0,3,1
BEL,Belgium,Cycling Track,0,25,14
BEL,Belgium,Diving,0,12,8
BEL,Belgium,Equestrian,0,41,17
BEL,Belgium,Equestrianism,7,206,85
BEL,Belgium,Fencing,10,345,127
BEL,Belgium,Figure Skating,0,2,2
BEL,Belgium,Football,14,67,58
BEL,Belgium,Golf,0,9,6
BEL,Belgium,Gymnastics,0,200,83
BEL,Belgium,Hockey,18,284,200
BEL,Belgium,Ice Hockey,0,7,7
BEL,Belgium,Judo,2,63,32
BEL,Belgium,Modern Pentathlon,0,15,13
BEL,Belgium,Polo,0,4,4
BEL,Belgium,Rhythmic Gymnastics,0,4,3
BEL,Belgium,Rowing,0,185,139
BEL,Belgium,Sailing,4,105,77
BEL,Belgium,Shooting,1,218,79
BEL,Belgium,Skateboarding,0,2,2
BEL,Belgium,Sport Climbing,0,1,1
BEL,Belgium,Swimming,1,291,118
BEL,Belgium,Synchronized Swimming,0,5,2
BEL,Belgium,Table Tennis,0,16,5
BEL,Belgium,Taekwondo,0,6,5
BEL,Belgium,Tennis,1,89,34
BEL,Belgium,Triathlon,0,23,13
BEL,Belgium,Tug-Of-War,0,8,8
BEL,Belgium,Volleyball,0,12,12
BEL,Belgium,Water Polo,0,100,63
BEL,Belgium,Weightlifting,1,49,36
BEL,Belgium,Wrestling,0,113,80
BEN,Benin,Athletics,0,47,29
BEN,Benin,Boxing,0,13,12
BEN,Benin,Cycling,0,2,2
BEN,Benin,Fencing,0,1,1
BEN,Benin,Judo,0,5,5
BEN,Benin,Rowing,0,1,1
BEN,Benin,Swimming,0,11,9
BEN,Benin,Taekwondo,0,2,2
BEN,Benin,Tennis,0,1,1
BER,Bermuda,Athletics,0,63,30
BER,Bermuda,Boxing,0,4,4
BER,Bermuda,Cycling,0,4,4
BER,Bermuda,Diving,0,4,3
BER,Bermuda,Equestrianism,0,11,7
BER,Bermuda,Rowing,0,4,3
BER,Bermuda,Sailing,0,62,45
BER,Bermuda,Swimming,0,53,24
BER,Bermuda,Tennis,0,1,1
BER,Bermuda,Triathlon,1,9,4
BHU,Bhutan,Archery,0,36,21
BHU,Bhutan,Athletics,0,1,1
BHU,Bhutan,Judo,0,1,1
BHU,Bhutan,Shooting,0,3,2
BHU,Bhutan,Swimming,0,2,1
BIH,Bosnia and Herzegovina,Athletics,0,24,16
BIH,Bosnia and Herzegovina,Canoeing,0,3,3
BIH,Bosnia and Herzegovina,Judo,0,10,7
BIH,Bosnia and Herzegovina,Shooting,0,20,5
BIH,Bosnia and Herzegovina,Swimming,0,21,12
BIH,Bosnia and Herzegovina,Table Tennis,0,2,2
BIH,Bosnia and Herzegovina,Taekwondo,0,2,2
BIH,Bosnia and Herzegovina,Tennis,0,3,3
BIH,Bosnia and Herzegovina,Weightlifting,0,1,1
BIH,Bosnia and Herzegovina,Wrestling,0,1,1
BIZ,Belize,Athletics,0,41,29
BIZ,Belize,Boxing,0,1,1
BIZ,Belize,Canoe Sprint,0,2,1
BIZ,Belize,Cycling,0,27,17
BIZ,Belize,Judo,0,2,2
BIZ,Belize,Shooting,0,6,4
BIZ,Belize,Taekwondo,0,1,1
BIZ,Belize,Weightlifting,0,1,1
BLR,Belarus,Archery,0,16,9
BLR,Belarus,Artistic Gymnastics,0,5,1
BLR,Belarus,Artistic Swimming,0,2,2
BLR,Belarus,Athletics,4,277,174
BLR,Belarus,Badminton,0,6,4
BLR,Belarus,Basketball,0,22,17
BLR,Belarus,Boxing,0,26,22
BLR,Belarus,Canoe Sprint,0,18,12
BLR,Belarus,Canoeing,6,60,26
BLR,Belarus,Cycling,0,38,21
BLR,Belarus,Cycling Road,0,3,2
BLR,Belarus,Cycling Track,0,2,2
BLR,Belarus,Diving,0,19,12
BLR,Belarus,Equestrian,0,1,1
BLR,Belarus,Equestrianism,0,6,4
BLR,Belarus,Fencing,0,24,8
BLR,Belarus,Football,0,16,16
BLR,Belarus,Gymnastics,0,236,30
BLR,Belarus,Judo,1,27,18
BLR,Belarus,Modern Pentathlon,0,17,12
BLR,Belarus,Rhythmic Gymnastics,0,54,46
BLR,Belarus,Rowing,2,71,49
BLR,Belarus,Sailing,0,21,16
BLR,Belarus,Shooting,1,95,24
BLR,Belarus,Swimming,0,111,41
BLR,Belarus,Synchronized Swimming,0,8,7
BLR,Belarus,Table Tennis,0,28,7
BLR,Belarus,Tennis,2,35,12
BLR,Belarus,Trampoline Gymnastics,1,2,2
BLR,Belarus,Trampolining,1,12,7
BLR,Belarus,Weightlifting,1,50,39
BLR,Belarus,Wrestling,0,75,60
BOH,Bohemia,Art Competitions,0,1,1
BOH,Bohemia,Athletics,0,39,18
BOH,Bohemia,Cycling,0,11,6
BOH,Bohemia,Fencing,0,51,17
BOH,Bohemia,Gymnastics,0,7,3
BOH,Bohemia,Rowing,0,1,1
BOH,Bohemia,Shooting,0,5,1
BOH,Bohemia,Tennis,0,28,13
BOH,Bohemia,Wrestling,0,10,8
BOL,Bolivia,Art Competitions,0,1,1
BOL,Bolivia,Athletics,0,43,30
BOL,Bolivia,Boxing,0,1,1
BOL,Bolivia,Canoeing,0,2,1
BOL,Bolivia,Cycling,0,10,6
BOL,Bolivia,Diving,0,2,1
BOL,Bolivia,Equestrianism,0,3,1
BOL,Bolivia,Fencing,0,4,3
BOL,Bolivia,Gymnastics,0,5,1
BOL,Bolivia,Judo,0,6,6
BOL,Bolivia,Shooting,0,20,14
BOL,Bolivia,Swimming,0,27,15
BOL,Bolivia,Tennis,0,2,2
BOL,Bolivia,Weightlifting,0,3,3
BOL,Bolivia,Wrestling,0,1,1
BOT,Botswana,Athletics,1,102,61
BOT,Botswana,Boxing,0,12,11
BOT,Botswana,Judo,0,1,1
BOT,Botswana,Sailing,0,1,1
BOT,Botswana,Swimming,0,8,7
BOT,Botswana,Weightlifting,0,1,1
BRA,Brazil,Archery,0,29,13
BRA,Brazil,Art Competitions,0,1,1
BRA,Brazil,Artistic Gymnastics,2,86,10
BRA,Brazil,Athletics,5,642,326
BRA,Brazil,Badminton,0,6,5
BRA,Brazil,Basketball,0,267,161
BRA,Brazil,Beach Volleyball,8,64,40
BRA,Brazil,Boxing,2,97,82
BRA,Brazil,Canoe Slalom,0,9,2
BRA,Brazil,Canoe Sprint,1,12,6
BRA,Brazil,Canoeing,0,49,26
BRA,Brazil,Cycling,0,95,51
BRA,Brazil,Cycling BMX Freestyle,0,1,1
BRA,Brazil,Cycling BMX Racing,0,3,3
BRA,Brazil,Cycling Mountain Bike,0,5,5
BRA,Brazil,Cycling Road,0,2,2
BRA,Brazil,Diving,0,51,23
BRA,Brazil,Equestrian,0,34,13
BRA,Brazil,Equestrianism,1,170,61
BRA,Brazil,Fencing,0,99,45
BRA,Brazil,Football,39,372,304
BRA,Brazil,Golf,0,3,3
BRA,Brazil,Gymnastics,1,201,27
BRA,Brazil,Handball,0,192,129
BRA,Brazil,Hockey,0,16,16
BRA,Brazil,Judo,5,167,91
BRA,Brazil,Marathon Swimming,1,3,2
BRA,Brazil,"Marathon Swimming, Swimming",0,5,1
BRA,Brazil,Modern Pentathlon,0,33,19
BRA,Brazil,Rhythmic Gymnastics,0,37,32
BRA,Brazil,Rowing,0,140,112
BRA,Brazil,Rugby Sevens,0,52,42
BRA,Brazil,Sailing,14,206,111
BRA,Brazil,Shooting,1,127,65
BRA,Brazil,Skateboarding,0,24,17
BRA,Brazil,Surfing,1,10,8
BRA,Brazil,Swimming,1,592,195
BRA,Brazil,Synchronized Swimming,0,33,19
BRA,Brazil,Table Tennis,0,78,21
BRA,Brazil,Taekwondo,0,20,16
BRA,Brazil,Tennis,0,61,27
BRA,Brazil,Trampoline Gymnastics,0,2,2
BRA,Brazil,Trampolining,0,1,1
BRA,Brazil,Triathlon,0,27,15
BRA,Brazil,Volleyball,60,335,192
BRA,Brazil,Water Polo,0,96,88
BRA,Brazil,Weightlifting,0,29,20
BRA,Brazil,Wrestling,0,17,12
BRN,Bahrain,Athletics,2,95,71
BRN,Bahrain,Boxing,0,1,1
BRN,Bahrain,Cycling,0,7,4
BRN,Bahrain,Fencing,0,7,4
BRN,Bahrain,Handball,0,16,15
BRN,Bahrain,Judo,0,1,1
BRN,Bahrain,Modern Pentathlon,0,12,5
BRN,Bahrain,Sailing,0,5,5
BRN,Bahrain,Shooting,0,10,9
BRN,Bahrain,Swimming,0,16,15
BRN,Bahrain,Weightlifting,0,2,2
BRN,Bahrain,Wrestling,1,2,2
BRU,Brunei,Athletics,0,8,8
BRU,Brunei,Badminton,0,1,1
BRU,Brunei,Shooting,0,2,1
BRU,Brunei,Swimming,0,4,4
BUL,Bulgaria,Archery,0,7,6
BUL,Bulgaria,Art Competitions,0,5,4
BUL,Bulgaria,Artistic Gymnastics,0,19,3
BUL,Bulgaria,Athletics,5,317,185
BUL,Bulgaria,Badminton,0,38,15
BUL,Bulgaria,Basketball,0,85,63
BUL,Bulgaria,Beach Volleyball,0,4,2
BUL,Bulgaria,Boxing,5,107,82
BUL,Bulgaria,Canoe Sprint,0,2,2
BUL,Bulgaria,Canoeing,4,133,63
BUL,Bulgaria,Cycling,0,81,51
BUL,Bulgaria,Diving,0,5,4
BUL,Bulgaria,Equestrianism,0,75,30
BUL,Bulgaria,Fencing,0,47,23
BUL,Bulgaria,Football,0,69,56
BUL,Bulgaria,Gymnastics,2,974,108
BUL,Bulgaria,Judo,0,32,21
BUL,Bulgaria,Karate,1,1,1
BUL,Bulgaria,Modern Pentathlon,0,29,15
BUL,Bulgaria,Rhythmic Gymnastics,5,62,49
BUL,Bulgaria,Rowing,5,178,122
BUL,Bulgaria,Sailing,0,11,8
BUL,Bulgaria,Shooting,4,151,52
BUL,Bulgaria,Swimming,1,140,53
BUL,Bulgaria,Synchronized Swimming,0,2,2
BUL,Bulgaria,Table Tennis,0,4,3
BUL,Bulgaria,Taekwondo,0,1,1
BUL,Bulgaria,Tennis,0,17,7
BUL,Bulgaria,Volleyball,0,106,84
BUL,Bulgaria,Water Polo,0,22,21
BUL,Bulgaria,Weightlifting,13,98,75
BUL,Bulgaria,Wrestling,18,236,167
BUR,Burkina Faso,Athletics,0,31,17
BUR,Burkina Faso,Boxing,0,4,4
BUR,Burkina Faso,Cycling Road,0,2,2
BUR,Burkina Faso,Fencing,0,1,1
BUR,Burkina Faso,Judo,0,8,7
BUR,Burkina Faso,Swimming,0,11,10
BUR,Burkina Faso,Taekwondo,0,3,2
CAF,Central African Republic,Archery,0,1,1
CAF,Central African Republic,Athletics,0,31,19
CAF,Central African Republic,Basketball,0,12,12
CAF,Central African Republic,Boxing,0,6,6
CAF,Central African Republic,Cycling,0,7,4
CAF,Central African Republic,Judo,0,5,5
CAF,Central African Republic,Swimming,0,6,5
CAF,Central African Republic,Taekwondo,0,4,3
CAF,Central African Republic,Wrestling,0,1,1
CAM,Cambodia,Athletics,0,19,15
CAM,Cambodia,Boxing,0,5,5
CAM,Cambodia,Cycling,0,8,6
CAM,Cambodia,Equestrianism,0,2,2
CAM,Cambodia,Judo,0,1,1
CAM,Cambodia,Sailing,0,3,3
CAM,Cambodia,Swimming,0,27,15
CAM,Cambodia,Taekwondo,0,2,2
CAM,Cambodia,Wrestling,0,2,2
CAN,Canada,3x3 Basketball,0,4,4
CAN,Canada,Archery,0,54,29
CAN,Canada,Art Competitions,0,83,24
CAN,Canada,Artistic Gymnastics,0,107,11
CAN,Canada,Artistic Swimming,0,21,16
CAN,Canada,Athletics,32,1287,682
CAN,Canada,Badminton,0,73,37
CAN,Canada,Baseball,0,48,43
CAN,Canada,Baseball/Softball,0,15,15
CAN,Canada,Basketball,0,214,179
CAN,Canada,Beach Volleyball,0,36,24
CAN,Canada,Boxing,3,148,134
CAN,Canada,Breaking,1,1,1
CAN,Canada,Canoe Slalom,0,10,6
CAN,Canada,Canoe Sprint,1,45,21
CAN,Canada,Canoeing,5,300,147
CAN,Canada,Cycling,1,322,149
CAN,Canada,Cycling BMX Freestyle,0,1,1
CAN,Canada,Cycling BMX Racing,0,3,3
CAN,Canada,Cycling Mountain Bike,0,5,5
CAN,Canada,Cycling Road,0,15,8
CAN,Canada,Cycling Track,1,62,27
CAN,Canada,Diving,1,178,77
CAN,Canada,Equestrian,0,34,14
CAN,Canada,Equestrianism,4,260,84
CAN,Canada,Fencing,0,298,114
CAN,Canada,Football,35,136,92
CAN,Canada,Golf,1,15,10
CAN,Canada,Gymnastics,1,705,92
CAN,Canada,Handball,0,28,28
CAN,Canada,Hockey,0,173,142
CAN,Canada,Ice Hockey,8,8,8
CAN,Canada,Judo,1,101,63
