NOC,Year,isHost,Gold,Total,gold_ratio,total_ratio,Avg_X_Gold,Avg_X_Total,AthletesCount,CountryNum,MedalCounts,Frequency,AvgMedalCounts
Benin,2008,0,0,0,0,0,0,0,5,154,0,0,0
Benin,2012,0,0,0,0,0,0,0,5,154,0,0,0
Benin,2016,0,0,0,0,0,0,0,6,154,0,0,0
Benin,2020,0,0,0,0,0,0,0,7,154,0,0,0
Benin,2024,0,0,0,0,0,0,0,5,154,0,0,0
Bhutan,1984,0,0,0,0,0,0,0,6,155,0,0,0
Bhutan,1988,0,0,0,0,0,0,0,6,155,0,0,0
Bhutan,1992,0,0,0,0,0,0,0,12,155,0,0,0
Bhutan,1996,0,0,0,0,0,0,0,2,155,0,0,0
Bhutan,2000,0,0,0,0,0,0,0,2,155,0,0,0
Bhutan,2004,0,0,0,0,0,0,0,2,155,0,0,0
Bhutan,2008,0,0,0,0,0,0,0,2,155,0,0,0
Bhutan,2012,0,0,0,0,0,0,0,2,155,0,0,0
Bhutan,2016,0,0,0,0,0,0,0,2,155,0,0,0
Bhutan,2020,0,0,0,0,0,0,0,4,155,0,0,0
Bhutan,2024,0,0,0,0,0,0,0,3,155,0,0,0
Bolivia,1936,0,0,0,0,0,0,0,2,158,0,0,0
Bolivia,1964,0,0,0,0,0,0,0,1,158,0,0,0
Bolivia,1968,0,0,0,0,0,0,0,4,158,0,0,0
Bolivia,1972,0,0,0,0,0,0,0,14,158,0,0,0
Bolivia,1976,0,0,0,0,0,0,0,5,158,0,0,0
Bolivia,1984,0,0,0,0,0,0,0,13,158,0,0,0
Bolivia,1988,0,0,0,0,0,0,0,12,158,0,0,0
Bolivia,1992,0,0,0,0,0,0,0,21,158,0,0,0
Bolivia,1996,0,0,0,0,0,0,0,9,158,0,0,0
Bolivia,2000,0,0,0,0,0,0,0,5,158,0,0,0
Bolivia,2004,0,0,0,0,0,0,0,11,158,0,0,0
Bolivia,2008,0,0,0,0,0,0,0,7,158,0,0,0
Bolivia,2012,0,0,0,0,0,0,0,5,158,0,0,0
Bolivia,2016,0,0,0,0,0,0,0,12,158,0,0,0
Bolivia,2020,0,0,0,0,0,0,0,5,158,0,0,0
Bolivia,2024,0,0,0,0,0,0,0,4,158,0,0,0
Bosnia and Herzegovina,1992,0,0,0,0,0,0,0,13,156,0,0,0
Bosnia and Herzegovina,1996,0,0,0,0,0,0,0,12,156,0,0,0
Bosnia and Herzegovina,2000,0,0,0,0,0,0,0,11,156,0,0,0
Bosnia and Herzegovina,2004,0,0,0,0,0,0,0,11,156,0,0,0
Bosnia and Herzegovina,2008,0,0,0,0,0,0,0,7,156,0,0,0
Bosnia and Herzegovina,2012,0,0,0,0,0,0,0,8,156,0,0,0
Bosnia and Herzegovina,2016,0,0,0,0,0,0,0,11,156,0,0,0
Bosnia and Herzegovina,2020,0,0,0,0,0,0,0,8,156,0,0,0
Bosnia and Herzegovina,2024,0,0,0,0,0,0,0,6,156,0,0,0
British Virgin Islands,1984,0,0,0,0,0,0,0,13,176,0,0,0
British Virgin Islands,1988,0,0,0,0,0,0,0,4,176,0,0,0
British Virgin Islands,1992,0,0,0,0,0,0,0,4,176,0,0,0
British Virgin Islands,1996,0,0,0,0,0,0,0,11,176,0,0,0
British Virgin Islands,2000,0,0,0,0,0,0,0,1,176,0,0,0
British Virgin Islands,2004,0,0,0,0,0,0,0,1,176,0,0,0
British Virgin Islands,2008,0,0,0,0,0,0,0,2,176,0,0,0
British Virgin Islands,2012,0,0,0,0,0,0,0,2,176,0,0,0
British Virgin Islands,2016,0,0,0,0,0,0,0,4,176,0,0,0
British Virgin Islands,2020,0,0,0,0,0,0,0,3,176,0,0,0
British Virgin Islands,2024,0,0,0,0,0,0,0,4,176,0,0,0
Brunei,1996,0,0,0,0,0,0,0,1,159,0,0,0
Brunei,2000,0,0,0,0,0,0,0,2,159,0,0,0
Brunei,2004,0,0,0,0,0,0,0,1,159,0,0,0
Brunei,2012,0,0,0,0,0,0,0,3,159,0,0,0
Brunei,2016,0,0,0,0,0,0,0,3,159,0,0,0
Brunei,2020,0,0,0,0,0,0,0,2,159,0,0,0
Brunei,2024,0,0,0,0,0,0,0,3,159,0,0,0
Cambodia,1956,0,0,0,0,0,0,0,2,161,0,0,0
Cambodia,1964,0,0,0,0,0,0,0,15,161,0,0,0
Cambodia,1972,0,0,0,0,0,0,0,17,161,0,0,0
Cambodia,1996,0,0,0,0,0,0,0,5,161,0,0,0
Cambodia,2000,0,0,0,0,0,0,0,4,161,0,0,0
Cambodia,2004,0,0,0,0,0,0,0,4,161,0,0,0
Cambodia,2008,0,0,0,0,0,0,0,4,161,0,0,0
Cambodia,2012,0,0,0,0,0,0,0,6,161,0,0,0
Cambodia,2016,0,0,0,0,0,0,0,6,161,0,0,0
Cambodia,2020,0,0,0,0,0,0,0,3,161,0,0,0
Cambodia,2024,0,0,0,0,0,0,0,3,161,0,0,0
Cayman Islands,1976,0,0,0,0,0,0,0,2,162,0,0,0
Cayman Islands,1984,0,0,0,0,0,0,0,14,162,0,0,0
Cayman Islands,1988,0,0,0,0,0,0,0,12,162,0,0,0
Cayman Islands,1992,0,0,0,0,0,0,0,13,162,0,0,0
Cayman Islands,1996,0,0,0,0,0,0,0,9,162,0,0,0
Cayman Islands,2000,0,0,0,0,0,0,0,4,162,0,0,0
Cayman Islands,2004,0,0,0,0,0,0,0,8,162,0,0,0
Cayman Islands,2008,0,0,0,0,0,0,0,6,162,0,0,0
Cayman Islands,2012,0,0,0,0,0,0,0,7,162,0,0,0
Cayman Islands,2016,0,0,0,0,0,0,0,5,162,0,0,0
Cayman Islands,2020,0,0,0,0,0,0,0,9,162,0,0,0
Cayman Islands,2024,0,0,0,0,0,0,0,5,162,0,0,0
Central African Republic,1968,0,0,0,0,0,0,0,1,160,0,0,0
Central African Republic,1984,0,0,0,0,0,0,0,3,160,0,0,0
Central African Republic,1988,0,0,0,0,0,0,0,15,160,0,0,0
Central African Republic,1992,0,0,0,0,0,0,0,21,160,0,0,0
Central African Republic,1996,0,0,0,0,0,0,0,5,160,0,0,0
Central African Republic,2000,0,0,0,0,0,0,0,3,160,0,0,0
Central African Republic,2004,0,0,0,0,0,0,0,4,160,0,0,0
Central African Republic,2008,0,0,0,0,0,0,0,3,160,0,0,0
Central African Republic,2012,0,0,0,0,0,0,0,6,160,0,0,0
Central African Republic,2016,0,0,0,0,0,0,0,6,160,0,0,0
Central African Republic,2020,0,0,0,0,0,0,0,2,160,0,0,0
Central African Republic,2024,0,0,0,0,0,0,0,4,160,0,0,0
Chad,1964,0,0,0,0,0,0,0,2,164,0,0,0
Chad,1968,0,0,0,0,0,0,0,4,164,0,0,0
Chad,1972,0,0,0,0,0,0,0,5,164,0,0,0
Chad,1984,0,0,0,0,0,0,0,3,164,0,0,0
Chad,1988,0,0,0,0,0,0,0,6,164,0,0,0
Chad,1992,0,0,0,0,0,0,0,7,164,0,0,0
Chad,1996,0,0,0,0,0,0,0,4,164,0,0,0
Chad,2000,0,0,0,0,0,0,0,3,164,0,0,0
Chad,2004,0,0,0,0,0,0,0,1,164,0,0,0
Chad,2008,0,0,0,0,0,0,0,2,164,0,0,0
Chad,2012,0,0,0,0,0,0,0,2,164,0,0,0
Chad,2016,0,0,0,0,0,0,0,2,164,0,0,0
Chad,2020,0,0,0,0,0,0,0,3,164,0,0,0
Chad,2024,0,0,0,0,0,0,0,3,164,0,0,0
Comoros,1996,0,0,0,0,0,0,0,4,167,0,0,0
Comoros,2000,0,0,0,0,0,0,0,2,167,0,0,0
Comoros,2004,0,0,0,0,0,0,0,3,167,0,0,0
Comoros,2008,0,0,0,0,0,0,0,3,167,0,0,0
Comoros,2012,0,0,0,0,0,0,0,3,167,0,0,0
Comoros,2016,0,0,0,0,0,0,0,4,167,0,0,0
Comoros,2020,0,0,0,0,0,0,0,3,167,0,0,0
Comoros,2024,0,0,0,0,0,0,0,5,167,0,0,0
Cook Islands,1988,0,0,0,0,0,0,0,8,166,0,0,0
Cook Islands,1992,0,0,0,0,0,0,0,2,166,0,0,0
Cook Islands,1996,0,0,0,0,0,0,0,3,166,0,0,0
Cook Islands,2000,0,0,0,0,0,0,0,2,166,0,0,0
Cook Islands,2004,0,0,0,0,0,0,0,3,166,0,0,0
Cook Islands,2008,0,0,0,0,0,0,0,4,166,0,0,0
Cook Islands,2012,0,0,0,0,0,0,0,9,166,0,0,0
Cook Islands,2016,0,0,0,0,0,0,0,9,166,0,0,0
Cook Islands,2020,0,0,0,0,0,0,0,9,166,0,0,0
Cook Islands,2024,0,0,0,0,0,0,0,2,166,0,0,0
Democratic Republic of the Congo,1968,0,0,0,0,0,0,0,8,165,0,0,0
Democratic Republic of the Congo,1984,0,0,0,0,0,0,0,9,165,0,0,0
Democratic Republic of the Congo,1988,0,0,0,0,0,0,0,21,165,0,0,0
Democratic Republic of the Congo,1992,0,0,0,0,0,0,0,19,165,0,0,0
Democratic Republic of the Congo,1996,0,0,0,0,0,0,0,14,165,0,0,0
Democratic Republic of the Congo,2000,0,0,0,0,0,0,0,3,165,0,0,0
Democratic Republic of the Congo,2004,0,0,0,0,0,0,0,6,165,0,0,0
Democratic Republic of the Congo,2008,0,0,0,0,0,0,0,5,165,0,0,0
Democratic Republic of the Congo,2012,0,0,0,0,0,0,0,4,165,0,0,0
Democratic Republic of the Congo,2016,0,0,0,0,0,0,0,4,165,0,0,0
Democratic Republic of the Congo,2020,0,0,0,0,0,0,0,7,165,0,0,0
Democratic Republic of the Congo,2024,0,0,0,0,0,0,0,6,165,0,0,0
El Salvador,1932,0,0,0,0,0,0,0,4,168,0,0,0
El Salvador,1968,0,0,0,0,0,0,0,104,168,0,0,0
El Salvador,1972,0,0,0,0,0,0,0,18,168,0,0,0
El Salvador,1984,0,0,0,0,0,0,0,15,168,0,0,0
El Salvador,1988,0,0,0,0,0,0,0,7,168,0,0,0
El Salvador,1992,0,0,0,0,0,0,0,6,168,0,0,0
El Salvador,1996,0,0,0,0,0,0,0,10,168,0,0,0
El Salvador,2000,0,0,0,0,0,0,0,10,168,0,0,0
El Salvador,2004,0,0,0,0,0,0,0,9,168,0,0,0
El Salvador,2008,0,0,0,0,0,0,0,14,168,0,0,0
El Salvador,2012,0,0,0,0,0,0,0,11,168,0,0,0
El Salvador,2016,0,0,0,0,0,0,0,10,168,0,0,0
El Salvador,2020,0,0,0,0,0,0,0,7,168,0,0,0
El Salvador,2024,0,0,0,0,0,0,0,9,168,0,0,0
Equatorial Guinea,1984,0,0,0,0,0,0,0,5,172,0,0,0
Equatorial Guinea,1988,0,0,0,0,0,0,0,7,172,0,0,0
Equatorial Guinea,1992,0,0,0,0,0,0,0,8,172,0,0,0
Equatorial Guinea,1996,0,0,0,0,0,0,0,8,172,0,0,0
Equatorial Guinea,2000,0,0,0,0,0,0,0,4,172,0,0,0
Equatorial Guinea,2004,0,0,0,0,0,0,0,2,172,0,0,0
Equatorial Guinea,2008,0,0,0,0,0,0,0,3,172,0,0,0
Equatorial Guinea,2012,0,0,0,0,0,0,0,2,172,0,0,0
Equatorial Guinea,2016,0,0,0,0,0,0,0,1,172,0,0,0
Equatorial Guinea,2020,0,0,0,0,0,0,0,3,172,0,0,0
Equatorial Guinea,2024,0,0,0,0,0,0,0,3,172,0,0,0
Eswatini,1972,0,0,0,0,0,0,0,4,209,0,0,0
Eswatini,1984,0,0,0,0,0,0,0,11,209,0,0,0
Eswatini,1988,0,0,0,0,0,0,0,15,209,0,0,0
Eswatini,1992,0,0,0,0,0,0,0,10,209,0,0,0
Eswatini,1996,0,0,0,0,0,0,0,6,209,0,0,0
Eswatini,2000,0,0,0,0,0,0,0,6,209,0,0,0
Eswatini,2004,0,0,0,0,0,0,0,3,209,0,0,0
Eswatini,2008,0,0,0,0,0,0,0,4,209,0,0,0
Eswatini,2012,0,0,0,0,0,0,0,3,209,0,0,0
Eswatini,2016,0,0,0,0,0,0,0,2,209,0,0,0
Eswatini,2020,0,0,0,0,0,0,0,4,209,0,0,0
Eswatini,2024,0,0,0,0,0,0,0,3,209,0,0,0
Federated States of Micronesia,2000,0,0,0,0,0,0,0,5,169,0,0,0
Federated States of Micronesia,2004,0,0,0,0,0,0,0,5,169,0,0,0
Federated States of Micronesia,2008,0,0,0,0,0,0,0,5,169,0,0,0
Federated States of Micronesia,2012,0,0,0,0,0,0,0,6,169,0,0,0
Federated States of Micronesia,2016,0,0,0,0,0,0,0,5,169,0,0,0
Federated States of Micronesia,2020,0,0,0,0,0,0,0,3,169,0,0,0
Federated States of Micronesia,2024,0,0,0,0,0,0,0,3,169,0,0,0
Guam,1988,0,0,0,0,0,0,0,26,174,0,0,0
Guam,1992,0,0,0,0,0,0,0,45,174,0,0,0
Guam,1996,0,0,0,0,0,0,0,9,174,0,0,0
Guam,2000,0,0,0,0,0,0,0,7,174,0,0,0
Guam,2004,0,0,0,0,0,0,0,4,174,0,0,0
Guam,2008,0,0,0,0,0,0,0,7,174,0,0,0
Guam,2012,0,0,0,0,0,0,0,8,174,0,0,0
Guam,2016,0,0,0,0,0,0,0,5,174,0,0,0
Guam,2020,0,0,0,0,0,0,0,5,174,0,0,0
Guam,2024,0,0,0,0,0,0,0,9,174,0,0,0
Guinea,1968,0,0,0,0,0,0,0,15,173,0,0,0
Guinea,1980,0,0,0,0,0,0,0,10,173,0,0,0
Guinea,1984,0,0,0,0,0,0,0,1,173,0,0,0
Guinea,1988,0,0,0,0,0,0,0,7,173,0,0,0
Guinea,1992,0,0,0,0,0,0,0,11,173,0,0,0
Guinea,1996,0,0,0,0,0,0,0,5,173,0,0,0
Guinea,2000,0,0,0,0,0,0,0,6,173,0,0,0
Guinea,2004,0,0,0,0,0,0,0,4,173,0,0,0
Guinea,2008,0,0,0,0,0,0,0,5,173,0,0,0
Guinea,2012,0,0,0,0,0,0,0,4,173,0,0,0
Guinea,2016,0,0,0,0,0,0,0,5,173,0,0,0
Guinea,2020,0,0,0,0,0,0,0,5,173,0,0,0
Guinea,2024,0,0,0,0,0,0,0,25,173,0,0,0
Guinea-Bissau,1996,0,0,0,0,0,0,0,3,171,0,0,0
Guinea-Bissau,2000,0,0,0,0,0,0,0,3,171,0,0,0
Guinea-Bissau,2004,0,0,0,0,0,0,0,3,171,0,0,0
Guinea-Bissau,2008,0,0,0,0,0,0,0,3,171,0,0,0
Guinea-Bissau,2012,0,0,0,0,0,0,0,4,171,0,0,0
Guinea-Bissau,2016,0,0,0,0,0,0,0,5,171,0,0,0
Guinea-Bissau,2020,0,0,0,0,0,0,0,4,171,0,0,0
Guinea-Bissau,2024,0,0,0,0,0,0,0,6,171,0,0,0
Honduras,1968,0,0,0,0,0,0,0,6,175,0,0,0
Honduras,1976,0,0,0,0,0,0,0,3,175,0,0,0
Honduras,1984,0,0,0,0,0,0,0,26,175,0,0,0
Honduras,1988,0,0,0,0,0,0,0,18,175,0,0,0
Honduras,1992,0,0,0,0,0,0,0,27,175,0,0,0
Honduras,1996,0,0,0,0,0,0,0,7,175,0,0,0
Honduras,2000,0,0,0,0,0,0,0,20,175,0,0,0
Honduras,2004,0,0,0,0,0,0,0,5,175,0,0,0
Honduras,2008,0,0,0,0,0,0,0,26,175,0,0,0
Honduras,2012,0,0,0,0,0,0,0,25,175,0,0,0
Honduras,2016,0,0,0,0,0,0,0,23,175,0,0,0
Honduras,2020,0,0,0,0,0,0,0,28,175,0,0,0
Honduras,2024,0,0,0,0,0,0,0,4,175,0,0,0
Kiribati,2004,0,0,0,0,0,0,0,3,177,0,0,0
Kiribati,2008,0,0,0,0,0,0,0,2,177,0,0,0
Kiribati,2012,0,0,0,0,0,0,0,3,177,0,0,0
Kiribati,2016,0,0,0,0,0,0,0,3,177,0,0,0
Kiribati,2020,0,0,0,0,0,0,0,3,177,0,0,0
Kiribati,2024,0,0,0,0,0,0,0,3,177,0,0,0
Laos,1980,0,0,0,0,0,0,0,19,178,0,0,0
Laos,1988,0,0,0,0,0,0,0,3,178,0,0,0
Laos,1992,0,0,0,0,0,0,0,7,178,0,0,0
Laos,1996,0,0,0,0,0,0,0,5,178,0,0,0
Laos,2000,0,0,0,0,0,0,0,3,178,0,0,0
Laos,2004,0,0,0,0,0,0,0,5,178,0,0,0
Laos,2008,0,0,0,0,0,0,0,4,178,0,0,0
Laos,2012,0,0,0,0,0,0,0,3,178,0,0,0
Laos,2016,0,0,0,0,0,0,0,5,178,0,0,0
Laos,2020,0,0,0,0,0,0,0,4,178,0,0,0
Laos,2024,0,0,0,0,0,0,0,4,178,0,0,0
Lebanon,2020,0,0,0,0,0,0,0,6,180,0,0,0
Lebanon,2024,0,0,0,0,0,0,0,11,180,0,0,0
Lesotho,1972,0,0,0,0,0,0,0,2,182,0,0,0
Lesotho,1980,0,0,0,0,0,0,0,7,182,0,0,0
Lesotho,1984,0,0,0,0,0,0,0,5,182,0,0,0
Lesotho,1988,0,0,0,0,0,0,0,6,182,0,0,0
Lesotho,1992,0,0,0,0,0,0,0,8,182,0,0,0
Lesotho,1996,0,0,0,0,0,0,0,11,182,0,0,0
Lesotho,2000,0,0,0,0,0,0,0,6,182,0,0,0
Lesotho,2004,0,0,0,0,0,0,0,3,182,0,0,0
Lesotho,2008,0,0,0,0,0,0,0,5,182,0,0,0
Lesotho,2012,0,0,0,0,0,0,0,4,182,0,0,0
Lesotho,2016,0,0,0,0,0,0,0,9,182,0,0,0
Lesotho,2020,0,0,0,0,0,0,0,2,182,0,0,0
Lesotho,2024,0,0,0,0,0,0,0,3,182,0,0,0
Liberia,1956,0,0,0,0,0,0,0,11,181,0,0,0
Liberia,1960,0,0,0,0,0,0,0,6,181,0,0,0
Liberia,1964,0,0,0,0,0,0,0,2,181,0,0,0
Liberia,1972,0,0,0,0,0,0,0,5,181,0,0,0
Liberia,1984,0,0,0,0,0,0,0,10,181,0,0,0
Liberia,1988,0,0,0,0,0,0,0,11,181,0,0,0
Liberia,1996,0,0,0,0,0,0,0,7,181,0,0,0
Liberia,2000,0,0,0,0,0,0,0,10,181,0,0,0
Liberia,2004,0,0,0,0,0,0,0,2,181,0,0,0
Liberia,2008,0,0,0,0,0,0,0,4,181,0,0,0
Liberia,2012,0,0,0,0,0,0,0,3,181,0,0,0
Liberia,2016,0,0,0,0,0,0,0,3,181,0,0,0
Liberia,2020,0,0,0,0,0,0,0,4,181,0,0,0
Liberia,2024,0,0,0,0,0,0,0,10,181,0,0,0
Libya,1968,0,0,0,0,0,0,0,1,179,0,0,0
Libya,1980,0,0,0,0,0,0,0,38,179,0,0,0
Libya,1988,0,0,0,0,0,0,0,7,179,0,0,0
Libya,1992,0,0,0,0,0,0,0,5,179,0,0,0
Libya,1996,0,0,0,0,0,0,0,5,179,0,0,0
Libya,2000,0,0,0,0,0,0,0,3,179,0,0,0
Libya,2004,0,0,0,0,0,0,0,8,179,0,0,0
Libya,2008,0,0,0,0,0,0,0,6,179,0,0,0
Libya,2012,0,0,0,0,0,0,0,4,179,0,0,0
Libya,2016,0,0,0,0,0,0,0,7,179,0,0,0
Libya,2020,0,0,0,0,0,0,0,4,179,0,0,0
Libya,2024,0,0,0,0,0,0,0,6,179,0,0,0
Liechtenstein,1936,0,0,0,0,0,0,0,8,183,0,0,0
Liechtenstein,1948,0,0,0,0,0,0,0,2,183,0,0,0
Liechtenstein,1952,0,0,0,0,0,0,0,2,183,0,0,0
Liechtenstein,1960,0,0,0,0,0,0,0,8,183,0,0,0
Liechtenstein,1964,0,0,0,0,0,0,0,3,183,0,0,0
Liechtenstein,1968,0,0,0,0,0,0,0,3,183,0,0,0
Liechtenstein,1972,0,0,0,0,0,0,0,12,183,0,0,0
Liechtenstein,1976,0,0,0,0,0,0,0,9,183,0,0,0
Liechtenstein,1984,0,0,0,0,0,0,0,8,183,0,0,0
Liechtenstein,1988,0,0,0,0,0,0,0,16,183,0,0,0
Liechtenstein,1992,0,0,0,0,0,0,0,8,183,0,0,0
Liechtenstein,1996,0,0,0,0,0,0,0,2,183,0,0,0
Liechtenstein,2000,0,0,0,0,0,0,0,2,183,0,0,0
Liechtenstein,2004,0,0,0,0,0,0,0,1,183,0,0,0
Liechtenstein,2008,0,0,0,0,0,0,0,2,183,0,0,0
Liechtenstein,2012,0,0,0,0,0,0,0,4,183,0,0,0
Liechtenstein,2016,0,0,0,0,0,0,0,3,183,0,0,0
Liechtenstein,2020,0,0,0,0,0,0,0,9,183,0,0,0
Liechtenstein,2024,0,0,0,0,0,0,0,1,183,0,0,0
Madagascar,1964,0,0,0,0,0,0,0,4,184,0,0,0
Madagascar,1968,0,0,0,0,0,0,0,6,184,0,0,0
Madagascar,1972,0,0,0,0,0,0,0,13,184,0,0,0
Madagascar,1980,0,0,0,0,0,0,0,18,184,0,0,0
Madagascar,1984,0,0,0,0,0,0,0,5,184,0,0,0
Madagascar,1992,0,0,0,0,0,0,0,17,184,0,0,0
Madagascar,1996,0,0,0,0,0,0,0,14,184,0,0,0
Madagascar,2000,0,0,0,0,0,0,0,13,184,0,0,0
Madagascar,2004,0,0,0,0,0,0,0,8,184,0,0,0
Madagascar,2008,0,0,0,0,0,0,0,6,184,0,0,0
Madagascar,2012,0,0,0,0,0,0,0,7,184,0,0,0
Madagascar,2016,0,0,0,0,0,0,0,6,184,0,0,0
Madagascar,2020,0,0,0,0,0,0,0,6,184,0,0,0
Madagascar,2024,0,0,0,0,0,0,0,7,184,0,0,0
Malawi,1972,0,0,0,0,0,0,0,18,185,0,0,0
Malawi,1984,0,0,0,0,0,0,0,23,185,0,0,0
Malawi,1988,0,0,0,0,0,0,0,22,185,0,0,0
Malawi,1992,0,0,0,0,0,0,0,4,185,0,0,0
Malawi,1996,0,0,0,0,0,0,0,2,185,0,0,0
Malawi,2000,0,0,0,0,0,0,0,2,185,0,0,0
Malawi,2004,0,0,0,0,0,0,0,4,185,0,0,0
