Name,NOC,Year,Sport,Medal,isCoached,Scoring_Past8,Scoring_Past4,Scoring_Current,ExperienceScoring
Tara Cross-battle,United States,2004,Volleyball,No medal,0,0,,,1.5
Tayyiba Haneef-park,United States,2004,Volleyball,No medal,0,0,,,0
Nancy (meendering-),United States,2004,Volleyball,No medal,0,0,,,0
Ogonna Nnamani,United States,2004,Volleyball,No medal,0,0,,,0
Prikeba Phipps,United States,2004,Volleyball,No medal,0,0,,,0.5
Danielle Scott-arruda,United States,2004,Volleyball,No medal,0,0,,,1
Stacy Sykora,United States,2004,Volleyball,No medal,0,0,,,0.5
Logan Tom,United States,2004,Volleyball,No medal,0,0,,,0.5
Robyn Mow-santos,United States,2008,Volleyball,Silver,1,3,,,1
Lindsey Berg,United States,2008,Volleyball,Silver,1,3,,,0.5
Heather Bown,United States,2008,Volleyball,Silver,1,3,,,1
Nicole Davis,United States,2008,Volleyball,Silver,1,3,,,0
Kimberly Glass,United States,2008,Volleyball,Silver,1,3,,,0
Tayyiba Haneef-park,United States,2008,Volleyball,Silver,1,3,,,0.5
Jennifer (-tamas),United States,2008,Volleyball,Silver,1,3,,,0
Ogonna Nnamani,United States,2008,Volleyball,Silver,1,3,,,0.5
Danielle Scott-arruda,United States,2008,Volleyball,Silver,1,3,,,1.5
Stacy Sykora,United States,2008,Volleyball,Silver,1,3,,,1
Logan Tom,United States,2008,Volleyball,Silver,1,3,,,1
Kim Willoughby,United States,2008,Volleyball,Silver,1,3,,,0
Foluke Akinradewo,United States,2012,Volleyball,Silver,0,3,,,0
Lindsey Berg,United States,2012,Volleyball,Silver,0,6,,,1
Nicole Davis,United States,2012,Volleyball,Silver,0,6,,,0.5
Tayyiba Haneef-park,United States,2012,Volleyball,Silver,0,6,,,1
Christa Harmotto-dietzen,United States,2012,Volleyball,Silver,0,3,,,0
Megan Hodge,United States,2012,Volleyball,Silver,0,3,,,0
Destinee Hooker,United States,2012,Volleyball,Silver,0,3,,,0
Jordan Larson-burbach,United States,2012,Volleyball,Silver,0,3,,,0
Tamari Miyashiro,United States,2012,Volleyball,Silver,0,3,,,0
Danielle Scott-arruda,United States,2012,Volleyball,Silver,0,6,,,2
Courtney Thompson,United States,2012,Volleyball,Silver,0,3,,,0
Logan Tom,United States,2012,Volleyball,Silver,0,6,,,1.5
Rachael Adams,United States,2016,Volleyball,Bronze,0,1,,,0
Foluke Akinradewo,United States,2016,Volleyball,Bronze,0,4,,,0.5
Kayla Banwarth,United States,2016,Volleyball,Bronze,0,1,,,0
Alisha Glass,United States,2016,Volleyball,Bronze,0,1,,,0
Christa Harmotto-dietzen,United States,2016,Volleyball,Bronze,0,4,,,0.5
Kimberly Hill,United States,2016,Volleyball,Bronze,0,1,,,0
Jordan Larson-burbach,United States,2016,Volleyball,Bronze,0,4,,,0.5
Carli Lloyd,United States,2016,Volleyball,Bronze,0,1,,,0
Karsta Lowe,United States,2016,Volleyball,Bronze,0,1,,,0
Kelly Murphy,United States,2016,Volleyball,Bronze,0,1,,,0
Kelsey Robinson,United States,2016,Volleyball,Bronze,0,1,,,0
Courtney Thompson,United States,2016,Volleyball,Bronze,0,4,,,0.5
Foluke Akinradewo,United States,2020,Volleyball,Gold,0,9,,,1
Michelle Bartsch-hackley,United States,2020,Volleyball,Gold,0,5,,,0
Andrea Drews,United States,2020,Volleyball,Gold,0,5,,,0
Micha Hancock,United States,2020,Volleyball,Gold,0,5,,,0
Kimberly Hill,United States,2020,Volleyball,Gold,0,6,,,0.5
Jordan Larson,United States,2020,Volleyball,Gold,0,5,,,0
Chiaka Ogbogu,United States,2020,Volleyball,Gold,0,5,,,0
Jordyn Poulter,United States,2020,Volleyball,Gold,0,5,,,0
Kelsey Robinson,United States,2020,Volleyball,Gold,0,6,,,0.5
Jordan Thompson,United States,2020,Volleyball,Gold,0,5,,,0
Haleigh Washington,United States,2020,Volleyball,Gold,0,5,,,0
Justine Wong-orantes,United States,2020,Volleyball,Gold,0,5,,,0
Lauren Carlini,United States,2024,Volleyball,Silver,0,3,,,0
Andrea Drews,United States,2024,Volleyball,Silver,0,8,,,0.5
Micha Hancock,United States,2024,Volleyball,Silver,0,8,,,0.5
Jordan Larson,United States,2024,Volleyball,Silver,0,8,,,0.5
Chiaka Ogbogu,United States,2024,Volleyball,Silver,0,8,,,0.5
Kathryn Plummer,United States,2024,Volleyball,Silver,0,3,,,0
Jordyn Poulter,United States,2024,Volleyball,Silver,0,8,,,0.5
Dana Rettke,United States,2024,Volleyball,Silver,0,3,,,0
Kelsey Robinson,United States,2024,Volleyball,Silver,0,9,,,1
Avery Skinner,United States,2024,Volleyball,Silver,0,3,,,0
Jordan Thompson,United States,2024,Volleyball,Silver,0,8,,,0.5
Haleigh Washington,United States,2024,Volleyball,Silver,0,8,,,0.5
Justine Wong-orantes,United States,2024,Volleyball,Silver,0,8,,,0.5
Pamela (-flat),United States,1984,Gymnastics,Silver,1,,,,
Michelle (-farrell),United States,1984,Gymnastics,Silver,1,,,,
Kathleen (-clarke),United States,1984,Gymnastics,Silver,1,,,,
Kathleen (-clarke),United States,1984,Gymnastics,Bronze,1,,,,
Julianne (-zeile),United States,1984,Gymnastics,Silver,1,,,,
Julianne (-zeile),United States,1984,Gymnastics,Silver,1,,,,
Julianne (-zeile),United States,1984,Gymnastics,Gold,1,,,,
Mary (-kelley),United States,1984,Gymnastics,Gold,1,,,,
Mary (-kelley),United States,1984,Gymnastics,Silver,1,,,,
Mary (-kelley),United States,1984,Gymnastics,Bronze,1,,,,
Mary (-kelley),United States,1984,Gymnastics,Silver,1,,,,
Mary (-kelley),United States,1984,Gymnastics,Bronze,1,,,,
Tracee (-kent),United States,1984,Gymnastics,Silver,1,,,,
Phoebe Mills,United States,1988,Gymnastics,Bronze,0,,,,
Wendy (-martin),United States,1992,Gymnastics,Bronze,1,,,,
Dominique (-thompson),United States,1992,Gymnastics,Bronze,1,,,,
Shannon -falconetti),United States,1992,Gymnastics,Silver,1,,,,
Shannon -falconetti),United States,1992,Gymnastics,Bronze,1,,,,
Shannon -falconetti),United States,1992,Gymnastics,Bronze,1,,,,
Shannon -falconetti),United States,1992,Gymnastics,Bronze,1,,,,
Shannon -falconetti),United States,1992,Gymnastics,Silver,1,,,,
Elizabeth Okino,United States,1992,Gymnastics,Bronze,1,,,,
Kerri (-fischer),United States,1992,Gymnastics,Bronze,1,,,,
Kimberley (-burdette),United States,1992,Gymnastics,Bronze,1,,,,
Amanda (-cochran),United States,1996,Gymnastics,Gold,1,,,,
Amy (-ho),United States,1996,Gymnastics,Gold,1,,,,
Amy (-ho),United States,1996,Gymnastics,Silver,1,,,,
Dominique (-thompson),United States,1996,Gymnastics,Gold,1,,,,
Dominique (-thompson),United States,1996,Gymnastics,Bronze,1,,,,
Shannon -falconetti),United States,1996,Gymnastics,Gold,1,,,,
Shannon -falconetti),United States,1996,Gymnastics,Gold,1,,,,
Dominique (-canales),United States,1996,Gymnastics,Gold,1,,,,
Jaycie -marus),United States,1996,Gymnastics,Gold,1,,,,
Kerri (-fischer),United States,1996,Gymnastics,Gold,1,,,,
Amy (-ho),United States,2000,Gymnastics,Bronze,1,,,,
Jamie Dantzscher,United States,2000,Gymnastics,Bronze,1,,,,
Dominique (-thompson),United States,2000,Gymnastics,Bronze,1,,,,
Kristen Maloney,United States,2000,Gymnastics,Bronze,1,,,,
Mary Ray,United States,2000,Gymnastics,Bronze,1,,,,
Tasha Schwikert-warren,United States,2000,Gymnastics,Bronze,1,,,,
