Country,Year,Sport,Event,Gold,Total_Medals
Argentina,1928,Swimming,Swimming Men's 400 metres Freestyle,1,1
Argentina,1932,Athletics,Athletics Men's Marathon,1,1
Argentina,1932,Boxing,Boxing Men's Featherweight,1,1
Argentina,1932,Boxing,Boxing Men's Heavyweight,1,1
Argentina,1932,Boxing,Boxing Men's Middleweight,0,1
Argentina,1936,Boxing,Boxing Men's Featherweight,1,1
Argentina,1936,Boxing,Boxing Men's Heavyweight,0,1
Argentina,1936,Boxing,Boxing Men's Light-Heavyweight,0,1
Argentina,1936,Boxing,Boxing Men's Middleweight,0,1
Argentina,1936,Polo,Polo Men's Polo,4,4
Argentina,1936,Rowing,Rowing Men's Coxless Pairs,0,2
Argentina,1936,Swimming,Swimming Women's 100 metres Freestyle,0,1
Argentina,1948,Athletics,Athletics Men's Marathon,1,1
Argentina,1948,Athletics,Athletics Women's Long Jump,0,1
Argentina,1948,Boxing,Boxing Men's Flyweight,1,1
Argentina,1948,Boxing,Boxing Men's Heavyweight,1,1
Argentina,1948,Boxing,Boxing Men's Light-Heavyweight,0,1
Argentina,1948,Sailing,Sailing Mixed 6 metres,0,5
Argentina,1948,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",0,1
Argentina,1952,Athletics,Athletics Men's Marathon,0,1
Argentina,1952,Boxing,Boxing Men's Light-Heavyweight,0,1
Argentina,1952,Boxing,Boxing Men's Light-Middleweight,0,1
Argentina,1952,Rowing,Rowing Men's Double Sculls,2,2
Argentina,1952,Weightlifting,Weightlifting Men's Heavyweight,0,1
Argentina,1956,Boxing,Boxing Men's Middleweight,0,1
Argentina,1956,Weightlifting,Weightlifting Men's Heavyweight,0,1
Argentina,1960,Boxing,Boxing Men's Lightweight,0,1
Argentina,1960,Sailing,Sailing Mixed Three Person Keelboat,0,3
Argentina,1964,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",0,1
Argentina,1968,Boxing,Boxing Men's Welterweight,0,1
Argentina,1968,Rowing,Rowing Men's Single Sculls,0,1
Argentina,1972,Rowing,Rowing Men's Single Sculls,0,1
Argentina,1988,Tennis,Tennis Women's Singles,0,1
Argentina,1988,Volleyball,Volleyball Men's Volleyball,0,12
Argentina,1992,Tennis,Tennis Men's Doubles,0,2
Argentina,1996,Boxing,Boxing Men's Featherweight,0,1
Argentina,1996,Football,Football Men's Football,0,18
Argentina,1996,Sailing,Sailing Men's Windsurfer,0,1
Argentina,2000,Hockey,Hockey Women's Hockey,0,16
Argentina,2000,Sailing,Sailing Men's Two Person Dinghy,0,2
Argentina,2000,Sailing,Sailing Men's Windsurfer,0,1
Argentina,2000,Sailing,Sailing Women's One Person Dinghy,0,1
Argentina,2004,Basketball,Basketball Men's Basketball,12,12
Argentina,2004,Football,Football Men's Football,16,16
Argentina,2004,Hockey,Hockey Women's Hockey,0,16
Argentina,2004,Sailing,Sailing Mixed Multihull,0,2
Argentina,2004,Swimming,Swimming Women's 400 metres Individual Medley,0,1
Argentina,2004,Tennis,Tennis Women's Doubles,0,2
Argentina,2008,Basketball,Basketball Men's Basketball,0,12
Argentina,2008,Cycling,Cycling Men's Madison,2,2
Argentina,2008,Football,Football Men's Football,18,18
Argentina,2008,Hockey,Hockey Women's Hockey,0,16
Argentina,2008,Judo,Judo Women's Extra-Lightweight,0,1
Argentina,2008,Sailing,Sailing Mixed Multihull,0,2
Argentina,2012,Hockey,Hockey Women's Hockey,0,15
Argentina,2012,Sailing,Sailing Men's Two Person Dinghy,0,2
Argentina,2012,Taekwondo,Taekwondo Men's Welterweight,1,1
Argentina,2012,Tennis,Tennis Men's Singles,0,1
Argentina,2016,Hockey,Hockey Men's Hockey,18,18
Argentina,2016,Judo,Judo Women's Extra-Lightweight,1,1
Argentina,2016,Sailing,Sailing Mixed Multihull,2,2
Argentina,2016,Tennis,Tennis Men's Singles,0,1
Argentina,2020,Hockey,Women Team,0,18
Argentina,2020,Rugby Sevens,Men Team,0,13
Argentina,2020,Volleyball,Men Team,0,12
Argentina,2024,Cycling BMX Freestyle,Men's Park,1,1
Argentina,2024,Hockey,Women,0,16
Argentina,2024,Sailing,Mixed Multihull,0,2
Armenia,1996,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1,1
Armenia,1996,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",0,1
Armenia,2000,Weightlifting,Weightlifting Men's Middleweight,0,1
Armenia,2008,Boxing,Boxing Men's Lightweight,0,1
Armenia,2008,Weightlifting,Weightlifting Men's Light-Heavyweight,0,1
Armenia,2008,Weightlifting,Weightlifting Men's Lightweight,0,1
Armenia,2008,Weightlifting,Weightlifting Men's Middleweight,0,1
Armenia,2008,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",0,1
Armenia,2008,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",0,1
Armenia,2012,Weightlifting,Weightlifting Women's Super-Heavyweight,0,1
Armenia,2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",0,1
Armenia,2012,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",0,1
Armenia,2016,Weightlifting,Weightlifting Men's Heavyweight,0,1
Armenia,2016,Weightlifting,Weightlifting Men's Super-Heavyweight,0,1
Armenia,2016,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1,1
Armenia,2016,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",0,1
Armenia,2020,Artistic Gymnastics,Men's Vault,0,1
Armenia,2020,Boxing,Men's Light (57-63kg),0,1
Armenia,2020,Weightlifting,Men's 109kg,0,1
Armenia,2020,Wrestling,Men's Greco-Roman 97kg,0,1
Armenia,2024,Artistic Gymnastics,Men's Vault,0,1
Armenia,2024,Weightlifting,Men's +102kg,0,1
Armenia,2024,Wrestling,Men's Greco-Roman 77kg,0,1
Armenia,2024,Wrestling,Men's Greco-Roman 97kg,0,1
Australasia,1908,Athletics,"Athletics Men's 3,500 metres Walk",0,1
Australasia,1908,Boxing,Boxing Men's Middleweight,0,1
Australasia,1908,Rugby,Rugby Men's Rugby,15,15
Australasia,1908,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australasia,1908,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australasia,1912,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australasia,1912,Swimming,Swimming Men's 100 metres Freestyle,0,1
Australasia,1912,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,4,4
Australasia,1912,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australasia,1912,Swimming,Swimming Women's 100 metres Freestyle,1,2
Australasia,1912,Tennis,"Tennis Men's Singles, Covered Courts",0,1
Australia,1896,Athletics,"Athletics Men's 1,500 metres",1,1
Australia,1896,Athletics,Athletics Men's 800 metres,1,1
Australia,1896,Tennis,Tennis Men's Doubles,0,1
Australia,1900,Athletics,Athletics Men's 100 metres,0,1
Australia,1900,Athletics,Athletics Men's 200 metres,0,1
Australia,1900,Athletics,"Athletics Men's 5,000 metres, Team",1,1
Australia,1900,Athletics,Athletics Men's 60 metres,0,1
Australia,1900,Swimming,Swimming Men's 200 metres Freestyle,1,1
Australia,1900,Swimming,Swimming Men's 200 metres Obstacle Course,1,1
Australia,1904,Swimming,Swimming Men's 220 yard Freestyle,0,1
Australia,1904,Swimming,Swimming Men's 440 yard Freestyle,0,1
Australia,1904,Swimming,Swimming Men's 880 yard Freestyle,0,1
Australia,1904,Swimming,Swimming Men's One Mile Freestyle,0,1
Australia,1906,Athletics,Athletics Men's 100 metres,0,1
Australia,1906,Athletics,Athletics Men's 400 metres,0,1
Australia,1906,Swimming,Swimming Men's 100 metres Freestyle,0,1
Australia,1920,Athletics,"Athletics Men's 3,000 metres Walk",0,1
Australia,1920,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australia,1920,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,5
Australia,1924,Athletics,Athletics Men's Triple Jump,1,1
Australia,1924,Diving,Diving Men's Plain High,1,1
Australia,1924,Swimming,"Swimming Men's 1,500 metres Freestyle",1,2
Australia,1924,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,5
Australia,1924,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1928,Cycling,"Cycling Men's 1,000 metres Time Trial",0,1
Australia,1928,Rowing,Rowing Men's Single Sculls,1,1
Australia,1928,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australia,1928,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1932,Cycling,"Cycling Men's 1,000 metres Time Trial",1,1
Australia,1932,Rowing,Rowing Men's Single Sculls,1,1
Australia,1932,Swimming,Swimming Women's 100 metres Backstroke,0,1
Australia,1932,Swimming,Swimming Women's 200 metres Breaststroke,1,1
Australia,1932,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,1
Australia,1936,Athletics,Athletics Men's Triple Jump,0,1
Australia,1948,Athletics,Athletics Men's High Jump,1,1
Australia,1948,Athletics,Athletics Men's Long Jump,0,1
Australia,1948,Athletics,Athletics Men's Triple Jump,0,1
Australia,1948,Athletics,Athletics Women's 100 metres,0,1
Australia,1948,Athletics,Athletics Women's 4 x 100 metres Relay,0,4
Australia,1948,Athletics,Athletics Women's 80 metres Hurdles,0,1
Australia,1948,Rowing,Rowing Men's Single Sculls,1,1
Australia,1948,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australia,1948,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1948,Swimming,Swimming Women's 100 metres Backstroke,0,1
Australia,1948,Swimming,Swimming Women's 200 metres Breaststroke,0,1
Australia,1948,Wrestling,"Wrestling Men's Heavyweight, Freestyle",0,1
Australia,1948,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,1
Australia,1952,Athletics,Athletics Women's 100 metres,1,2
Australia,1952,Athletics,Athletics Women's 200 metres,1,1
Australia,1952,Athletics,Athletics Women's 80 metres Hurdles,1,1
Australia,1952,Cycling,"Cycling Men's 1,000 metres Time Trial",1,1
Australia,1952,Cycling,Cycling Men's Sprint,0,1
Australia,1952,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",2,2
Australia,1952,Rowing,Rowing Men's Coxed Eights,0,9
Australia,1952,Rowing,Rowing Men's Single Sculls,0,1
Australia,1952,Swimming,Swimming Men's 200 metres Breaststroke,1,1
Australia,1952,Weightlifting,Weightlifting Men's Lightweight,0,1
Australia,1956,Athletics,"Athletics Men's 1,500 metres",0,1
Australia,1956,Athletics,"Athletics Men's 10,000 metres",0,1
Australia,1956,Athletics,Athletics Men's 100 metres,0,1
Australia,1956,Athletics,Athletics Men's 4 x 400 metres Relay,0,5
Australia,1956,Athletics,Athletics Men's High Jump,0,1
Australia,1956,Athletics,Athletics Women's 100 metres,1,2
Australia,1956,Athletics,Athletics Women's 200 metres,1,2
Australia,1956,Athletics,Athletics Women's 4 x 100 metres Relay,4,4
Australia,1956,Athletics,Athletics Women's 80 metres Hurdles,1,2
Australia,1956,Boxing,Boxing Men's Welterweight,0,1
Australia,1956,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",0,2
Australia,1956,Cycling,Cycling Men's Sprint,0,1
Australia,1956,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",2,2
Australia,1956,Rowing,Rowing Men's Coxed Eights,0,9
Australia,1956,Rowing,Rowing Men's Double Sculls,0,2
Australia,1956,Rowing,Rowing Men's Single Sculls,0,1
Australia,1956,Sailing,Sailing Mixed 5.5 metres,0,3
Australia,1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,0,2
Australia,1956,Swimming,"Swimming Men's 1,500 metres Freestyle",1,1
Australia,1956,Swimming,Swimming Men's 100 metres Backstroke,1,2
Australia,1956,Swimming,Swimming Men's 100 metres Freestyle,1,3
Australia,1956,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,7,7
Australia,1956,Swimming,Swimming Men's 400 metres Freestyle,1,1
Australia,1956,Swimming,Swimming Women's 100 metres Freestyle,1,3
Australia,1956,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,6,6
Australia,1956,Swimming,Swimming Women's 400 metres Freestyle,1,2
Australia,1960,Athletics,"Athletics Men's 1,500 metres",1,1
Australia,1960,Athletics,"Athletics Men's 10,000 metres",0,1
Australia,1960,Athletics,Athletics Men's 20 kilometres Walk,0,1
Australia,1960,Athletics,Athletics Women's 800 metres,0,1
Australia,1960,Boxing,Boxing Men's Bantamweight,0,1
Australia,1960,Boxing,Boxing Men's Light-Heavyweight,0,1
Australia,1960,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",1,2
Australia,1960,Equestrianism,"Equestrianism Men's Three-Day Event, Team",4,4
Australia,1960,Swimming,"Swimming Men's 1,500 metres Freestyle",1,2
Australia,1960,Swimming,Swimming Men's 100 metres Backstroke,1,1
Australia,1960,Swimming,Swimming Men's 100 metres Freestyle,1,1
Australia,1960,Swimming,Swimming Men's 200 metres Butterfly,0,1
Australia,1960,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,7
Australia,1960,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,6
Australia,1960,Swimming,Swimming Men's 400 metres Freestyle,1,2
Australia,1960,Swimming,Swimming Women's 100 metres Butterfly,0,1
Australia,1960,Swimming,Swimming Women's 100 metres Freestyle,1,1
Australia,1960,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,0,6
Australia,1960,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,6
Australia,1964,Athletics,"Athletics Men's 10,000 metres",0,1
Australia,1964,Athletics,Athletics Women's 200 metres,0,1
Australia,1964,Athletics,Athletics Women's 400 metres,1,2
Australia,1964,Athletics,Athletics Women's 80 metres Hurdles,0,1
Australia,1964,Athletics,Athletics Women's High Jump,0,1
Australia,1964,Hockey,Hockey Men's Hockey,0,14
Australia,1964,Judo,Judo Men's Open Class,0,1
Australia,1964,Sailing,Sailing Mixed 5.5 metres,3,3
Australia,1964,Swimming,"Swimming Men's 1,500 metres Freestyle",1,2
Australia,1964,Swimming,Swimming Men's 200 metres Breaststroke,1,1
Australia,1964,Swimming,Swimming Men's 200 metres Butterfly,1,1
Australia,1964,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,4
Australia,1964,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,5
Australia,1964,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1964,Swimming,Swimming Women's 100 metres Freestyle,1,1
Australia,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,0,5
Australia,1968,Athletics,Athletics Men's 200 metres,0,1
Australia,1968,Athletics,Athletics Men's 800 metres,1,1
Australia,1968,Athletics,Athletics Women's 200 metres,0,2
Australia,1968,Athletics,Athletics Women's 80 metres Hurdles,1,2
Australia,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",0,4
Australia,1968,Hockey,Hockey Men's Hockey,0,14
Australia,1968,Rowing,Rowing Men's Coxed Eights,0,9
Australia,1968,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australia,1968,Swimming,Swimming Men's 100 metres Freestyle,1,1
Australia,1968,Swimming,Swimming Men's 200 metres Freestyle,1,1
Australia,1968,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,4
Australia,1968,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,4
Australia,1968,Swimming,Swimming Women's 100 metres Butterfly,1,1
Australia,1968,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,5
Australia,1968,Swimming,Swimming Women's 400 metres Freestyle,0,1
Australia,1972,Athletics,Athletics Women's 100 metres,0,1
Australia,1972,Athletics,Athletics Women's 200 metres,0,1
Australia,1972,Cycling,"Cycling Men's 1,000 metres Time Trial",0,1
Australia,1972,Cycling,"Cycling Men's Road Race, Individual",0,1
Australia,1972,Cycling,Cycling Men's Sprint,0,1
Australia,1972,Sailing,Sailing Mixed Three Person Keelboat,3,3
Australia,1972,Sailing,Sailing Mixed Two Person Keelboat,2,2
Australia,1972,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australia,1972,Swimming,Swimming Men's 400 metres Freestyle,1,1
Australia,1972,Swimming,Swimming Women's 100 metres Breaststroke,0,1
Australia,1972,Swimming,Swimming Women's 100 metres Freestyle,0,1
Australia,1972,Swimming,Swimming Women's 200 metres Breaststroke,1,1
Australia,1972,Swimming,Swimming Women's 200 metres Freestyle,1,1
Australia,1972,Swimming,Swimming Women's 200 metres Individual Medley,1,1
Australia,1972,Swimming,Swimming Women's 400 metres Freestyle,1,1
Australia,1972,Swimming,Swimming Women's 400 metres Individual Medley,1,1
Australia,1972,Swimming,Swimming Women's 800 metres Freestyle,0,1
Australia,1976,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",0,4
Australia,1976,Hockey,Hockey Men's Hockey,0,15
Australia,1976,Sailing,Sailing Mixed One Person Dinghy,0,1
Australia,1976,Sailing,Sailing Mixed Two Person Dinghy,0,2
Australia,1976,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australia,1980,Athletics,Athletics Men's 400 metres,0,1
Australia,1980,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",0,1
Australia,1980,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1
Australia,1980,Swimming,Swimming Men's 100 metres Breaststroke,0,1
Australia,1980,Swimming,Swimming Men's 200 metres Backstroke,0,1
Australia,1980,Swimming,Swimming Men's 200 metres Freestyle,0,1
Australia,1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,5,5
Australia,1980,Swimming,Swimming Women's 200 metres Butterfly,0,1
Australia,1980,Swimming,Swimming Women's 800 metres Freestyle,1,1
Australia,1984,Athletics,Athletics Men's Long Jump,0,1
Australia,1984,Athletics,Athletics Women's Heptathlon,1,1
Australia,1984,Athletics,Athletics Women's Shot Put,0,1
Australia,1984,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",0,2
Australia,1984,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",4,4
Australia,1984,Rowing,Rowing Men's Coxed Eights,0,9
Australia,1984,Rowing,Rowing Men's Quadruple Sculls,0,4
Australia,1984,Rowing,Rowing Women's Coxed Fours,0,5
Australia,1984,Sailing,Sailing Mixed Multihull,0,2
Australia,1984,Shooting,"Shooting Women's Sporting Pistol, 25 metres",0,1
Australia,1984,Swimming,Swimming Men's 100 metres Breaststroke,0,1
Australia,1984,Swimming,Swimming Men's 100 metres Butterfly,0,1
Australia,1984,Swimming,Swimming Men's 100 metres Freestyle,0,1
Australia,1984,Swimming,Swimming Men's 200 metres Breaststroke,0,1
Australia,1984,Swimming,Swimming Men's 200 metres Butterfly,1,1
Australia,1984,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,4
Australia,1984,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,6
Australia,1984,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1984,Swimming,Swimming Men's 400 metres Individual Medley,0,1
Australia,1984,Swimming,Swimming Women's 200 metres Butterfly,0,1
Australia,1984,Swimming,Swimming Women's 200 metres Individual Medley,0,1
Australia,1984,Swimming,Swimming Women's 400 metres Individual Medley,0,1
Australia,1984,Weightlifting,Weightlifting Men's Light-Heavyweight,0,1
Australia,1984,Weightlifting,Weightlifting Men's Super-Heavyweight,1,1
Australia,1988,Athletics,Athletics Women's 400 metres Hurdles,1,1
Australia,1988,Athletics,Athletics Women's Marathon,0,1
Australia,1988,Boxing,Boxing Men's Light-Welterweight,0,1
Australia,1988,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",0,2
Australia,1988,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",0,1
Australia,1988,Cycling,"Cycling Men's 1,000 metres Time Trial",0,1
Australia,1988,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",0,1
Australia,1988,Cycling,Cycling Men's Sprint,0,1
Australia,1988,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,5
Australia,1988,Hockey,Hockey Women's Hockey,16,16
Australia,1988,Swimming,Swimming Men's 200 metres Freestyle,1,1
Australia,1988,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1988,Swimming,Swimming Women's 800 metres Freestyle,0,1
Australia,1988,Tennis,Tennis Women's Doubles,0,2
Australia,1992,Athletics,Athletics Men's High Jump,0,1
Australia,1992,Athletics,Athletics Women's Discus Throw,0,1
Australia,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",0,4
Australia,1992,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",1,1
Australia,1992,Canoeing,"Canoeing Women's Kayak Singles, Slalom",0,1
Australia,1992,Cycling,"Cycling Men's 1,000 metres Time Trial",0,1
Australia,1992,Cycling,Cycling Men's Sprint,0,1
Australia,1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,4
Australia,1992,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",0,1
Australia,1992,Cycling,"Cycling Women's Road Race, Individual",1,1
Australia,1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",1,1
Australia,1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",4,4
Australia,1992,Hockey,Hockey Men's Hockey,0,16
Australia,1992,Rowing,Rowing Men's Coxless Fours,4,4
Australia,1992,Rowing,Rowing Men's Double Sculls,2,2
Australia,1992,Sailing,Sailing Men's Windsurfer,0,1
Australia,1992,Sailing,Sailing Mixed Multihull,0,2
Australia,1992,Swimming,"Swimming Men's 1,500 metres Freestyle",1,2
Australia,1992,Swimming,Swimming Men's 100 metres Breaststroke,0,1
Australia,1992,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1992,Swimming,Swimming Women's 100 metres Breaststroke,0,1
Australia,1992,Swimming,Swimming Women's 200 metres Backstroke,0,1
Australia,1992,Swimming,Swimming Women's 200 metres Butterfly,0,1
Australia,1992,Swimming,Swimming Women's 400 metres Freestyle,0,1
Australia,1992,Swimming,Swimming Women's 800 metres Freestyle,0,1
Australia,1992,Tennis,Tennis Women's Doubles,0,2
Australia,1996,Athletics,Athletics Women's 400 metres,0,1
Australia,1996,Athletics,Athletics Women's Javelin Throw,0,1
Australia,1996,Basketball,Basketball Women's Basketball,0,12
Australia,1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,0,2
Australia,1996,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",0,2
Australia,1996,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",0,1
Australia,1996,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",0,2
Australia,1996,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",0,1
Australia,1996,Cycling,Cycling Men's Points Race,0,1
Australia,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",0,5
Australia,1996,Cycling,Cycling Women's Points Race,0,1
Australia,1996,Cycling,Cycling Women's Sprint,0,1
Australia,1996,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",4,4
Australia,1996,Hockey,Hockey Men's Hockey,0,16
Australia,1996,Hockey,Hockey Women's Hockey,16,16
Australia,1996,Rowing,Rowing Men's Coxless Fours,4,4
Australia,1996,Rowing,Rowing Men's Coxless Pairs,0,2
Australia,1996,Rowing,Rowing Men's Lightweight Double Sculls,0,2
Australia,1996,Rowing,Rowing Men's Quadruple Sculls,0,4
Australia,1996,Rowing,Rowing Women's Coxless Pairs,2,2
Australia,1996,Rowing,Rowing Women's Lightweight Double Sculls,0,2
Australia,1996,Sailing,Sailing Mixed Multihull,0,2
Australia,1996,Sailing,Sailing Mixed Two Person Keelboat,0,2
Australia,1996,Shooting,Shooting Men's Double Trap,1,1
Australia,1996,Shooting,Shooting Men's Trap,1,1
Australia,1996,Shooting,Shooting Women's Double Trap,0,1
Australia,1996,Softball,Softball Women's Softball,0,15
Australia,1996,Swimming,"Swimming Men's 1,500 metres Freestyle",1,2
Australia,1996,Swimming,Swimming Men's 100 metres Butterfly,0,1
Australia,1996,Swimming,Swimming Men's 200 metres Butterfly,0,1
Australia,1996,Swimming,Swimming Men's 200 metres Freestyle,0,1
Australia,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,5
Australia,1996,Swimming,Swimming Men's 400 metres Freestyle,0,1
Australia,1996,Swimming,Swimming Women's 100 metres Breaststroke,0,1
Australia,1996,Swimming,Swimming Women's 200 metres Butterfly,1,2
Australia,1996,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,6
Australia,1996,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,5
Australia,1996,Tennis,Tennis Men's Doubles,2,2
Australia,1996,Weightlifting,Weightlifting Men's Super-Heavyweight,0,1
Australia,2000,Archery,Archery Men's Individual,1,1
Australia,2000,Athletics,Athletics Men's Long Jump,0,1
Australia,2000,Athletics,Athletics Women's 400 metres,1,1
Australia,2000,Athletics,Athletics Women's Pole Vault,0,1
Australia,2000,Basketball,Basketball Women's Basketball,0,12
Australia,2000,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,2,2
Australia,2000,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",0,2
Australia,2000,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",0,1
Australia,2000,Cycling,"Cycling Men's 1,000 metres Time Trial",0,1
Australia,2000,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",0,1
Australia,2000,Cycling,Cycling Men's Keirin,0,1
Australia,2000,Cycling,Cycling Men's Madison,2,2
Australia,2000,Cycling,Cycling Men's Team Sprint,0,3
Australia,2000,Cycling,Cycling Women's 500 metres Time Trial,0,1
